;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-113265,78;-309294,66;-106001,16;-277500,21;-277187,17;-276938,98;-275599,04;-275138,10
3 + Sonstige Transfererträge;-2900233,96;-3159440,23;-2760000,00;-2635000,00;-2635000,00;-2635000,00;-2635000,00;-2635000,00
4 + Öffentlich-rechtliche Leistungsentgelte;-10370,50;-13172,50;-9500,00;-9500,00;-9500,00;-9500,00;-9500,00;-9500,00
5 + Privatrechtliche Leistungsentgelte;-100,00;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1964267,66;-2663278,60;-1770000,00;-2701000,00;-2701000,00;-2685000,00;-2685000,00;-2685000,00
7 + Sonstige ordentliche Erträge;-6838,93;-6447,93;-18008,78;-5008,77;-5008,78;-5008,77;-5008,78;-5008,77
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-4995076,83;-6151633,92;-4663509,94;-5628008,98;-5627695,95;-5611447,75;-5610107,82;-5609646,87
11 - Personalaufwendungen;9106499,43;9608825,30;8294457,10;9007939,90;8996607,15;9038904,17;9081856,32;9195285,89
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;906531,39;2978858,69;3602871,32;870185,64;876996,24;861021,00;865827,40;870750,56
14 - Bilanzielle Abschreibungen;43178,36;42932,88;38027,06;38021,97;37645,98;36810,33;35333,73;34849,01
15 - Transferaufwendungen;55978373,22;60948990,52;58681050,00;62317500,00;63435000,00;64483700,00;65501600,00;65824950,00
16 - Sonstige ordentliche Aufwendungen;1272518,79;817122,16;753016,92;762650,18;773980,94;785311,70;796642,66;796642,66
17 = Ordentliche Aufwendungen;67307101,19;74396729,55;71369422,40;72996297,69;74120230,31;75205747,20;76281260,11;76722478,12
18 = Ordentliches Ergebnis (= 10 + 17);62312024,36;68245095,63;66705912,46;67368288,71;68492534,36;69594299,45;70671152,29;71112831,25
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);62312024,36;68245095,63;66705912,46;67368288,71;68492534,36;69594299,45;70671152,29;71112831,25
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);62312024,36;68245095,63;66705912,46;67368288,71;68492534,36;69594299,45;70671152,29;71112831,25
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;1357548,54;1580182,86;1405413,96;1209154,93;1202613,36;1197816,13;1195587,07;1199958,31
29 = Teilergebnis  (= 26, 27, 28);63669572,90;69825278,49;68111326,42;68577443,64;69695147,72;70792115,58;71866739,36;72312789,56
