;"Ergebnis des Vorvorvorjahres K4/2011";"Ergebnis des Vorvorjahres K4/2012";"Ansatz des Vorjahres K4/2013";"Planung des Haushaltsjahres K4/2014";"Planung des Haushaltsjahres K4/2015";"Planung des Haushaltsjahres K4/2016";"Planung des Haushaltsjahres K4/2017";"Planung des Haushaltsjahres K4/2018"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-139.573,77 EUR";"-141.876,55 EUR";"-137.269,30 EUR";"-137.571,34 EUR";"-137.571,33 EUR";"-137.549,10 EUR";"-137.409,89 EUR";"-137.370,90 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"-2.378,00 EUR";"-228,00 EUR";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"";"-907,22 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-141.951,77 EUR";"-143.011,77 EUR";"-137.269,30 EUR";"-137.571,34 EUR";"-137.571,33 EUR";"-137.549,10 EUR";"-137.409,89 EUR";"-137.370,90 EUR"
"11 - Personalaufwendungen";"1.209.842,92 EUR";"1.153.960,71 EUR";"966.147,35 EUR";"910.987,80 EUR";"912.268,72 EUR";"918.439,12 EUR";"923.793,96 EUR";"935.602,92 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"86.221,19 EUR";"86.948,09 EUR";"114.273,76 EUR";"115.651,00 EUR";"117.391,08 EUR";"119.185,24 EUR";"120.412,88 EUR";"121.670,36 EUR"
"14 - Bilanzielle Abschreibungen";"6.009,53 EUR";"5.390,36 EUR";"4.734,38 EUR";"4.205,80 EUR";"4.054,30 EUR";"3.975,71 EUR";"3.836,50 EUR";"3.722,72 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"99.421,19 EUR";"98.219,72 EUR";"98.409,28 EUR";"99.763,44 EUR";"101.332,80 EUR";"102.902,40 EUR";"104.471,88 EUR";"104.471,88 EUR"
"17 = Ordentliche Aufwendungen";"1.401.494,83 EUR";"1.344.518,88 EUR";"1.183.564,77 EUR";"1.130.608,04 EUR";"1.135.046,90 EUR";"1.144.502,47 EUR";"1.152.515,22 EUR";"1.165.467,88 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"1.259.543,06 EUR";"1.201.507,11 EUR";"1.046.295,47 EUR";"993.036,70 EUR";"997.475,57 EUR";"1.006.953,37 EUR";"1.015.105,33 EUR";"1.028.096,98 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"1.259.543,06 EUR";"1.201.507,11 EUR";"1.046.295,47 EUR";"993.036,70 EUR";"997.475,57 EUR";"1.006.953,37 EUR";"1.015.105,33 EUR";"1.028.096,98 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"1.259.543,06 EUR";"1.201.507,11 EUR";"1.046.295,47 EUR";"993.036,70 EUR";"997.475,57 EUR";"1.006.953,37 EUR";"1.015.105,33 EUR";"1.028.096,98 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"178.014,77 EUR";"175.977,94 EUR";"155.790,98 EUR";"142.550,09 EUR";"142.048,22 EUR";"141.810,80 EUR";"141.655,72 EUR";"142.146,66 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"1.437.557,83 EUR";"1.377.485,05 EUR";"1.202.086,45 EUR";"1.135.586,79 EUR";"1.139.523,79 EUR";"1.148.764,17 EUR";"1.156.761,05 EUR";"1.170.243,64 EUR"
