;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-5,92;;-5,88;-5,88;-5,88;-5,88;-5,88
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;-511,50;;-1000,00;-1000,00;-1000,00;-1000,00;-1000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-20000,04;-20000,04;-20000,04;-20000,04;-20000,04
7 + Sonstige ordentliche Erträge;;-18,89;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;-536,31;;-21005,92;-21005,92;-21005,92;-21005,92;-21005,92
11 - Personalaufwendungen;;135005,02;;137455,67;139174,21;141113,54;142942,17;145069,04
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;5730,14;;12637,44;12861,60;13094,28;13254,32;13417,20
14 - Bilanzielle Abschreibungen;;388,26;;5,88;5,88;5,88;5,88;5,88
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;13023,56;;19214,18;19214,18;19214,18;19214,18;19214,18
17 = Ordentliche Aufwendungen;;154146,98;;169313,17;171255,87;173427,88;175416,55;177706,30
18 = Ordentliches Ergebnis (= 10 + 17);;153610,67;;148307,25;150249,95;152421,96;154410,63;156700,38
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;153610,67;;148307,25;150249,95;152421,96;154410,63;156700,38
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;153610,67;;148307,25;150249,95;152421,96;154410,63;156700,38
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;14320,33;;22978,47;22981,11;22996,60;23023,83;23113,95
29 = Teilergebnis  (= 26, 27, 28);;167931,00;;171285,72;173231,06;175418,56;177434,46;179814,33
