;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-5,92;;-5,88;-5,88;-5,88;-5,88;-5,88
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;-1025,00;;-3000,00;-3000,00;-3000,00;-3000,00;-3000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-20000,04;-20000,04;-20000,04;-20000,04;-20000,04
7 + Sonstige ordentliche Erträge;;-676,63;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;-1707,55;;-23005,92;-23005,92;-23005,92;-23005,92;-23005,92
11 - Personalaufwendungen;;134011,73;;333770,96;339195,49;344851,06;349853,69;355192,16
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;38400,25;;72237,44;72461,60;72694,28;72854,32;73017,20
14 - Bilanzielle Abschreibungen;;388,26;;5,88;5,88;5,88;5,88;5,88
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;13593,07;;22514,18;22514,18;22514,18;22514,18;22514,18
17 = Ordentliche Aufwendungen;;186393,31;;428528,46;434177,15;440065,40;445228,07;450729,42
18 = Ordentliches Ergebnis (= 10 + 17);;184685,76;;405522,54;411171,23;417059,48;422222,15;427723,50
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;184685,76;;405522,54;411171,23;417059,48;422222,15;427723,50
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;184685,76;;405522,54;411171,23;417059,48;422222,15;427723,50
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;14127,93;;36395,29;36423,86;36465,27;36528,21;36737,66
29 = Teilergebnis  (= 26, 27, 28);;198813,69;;441917,83;447595,09;453524,75;458750,36;464461,16
