;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-6,00;;-6,19;-6,20;-6,19;-6,20;-6,19
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;-17405,00;;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-19999,92;-19999,92;-19999,92;-19999,92;-19999,92
7 + Sonstige ordentliche Erträge;;-18,91;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;-17429,91;;-40006,11;-40006,12;-40006,11;-40006,12;-40006,11
11 - Personalaufwendungen;;126602,50;;159753,12;161890,77;164251,52;166440,77;168932,62
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;3239,38;;5574,60;5739,84;5912,28;6030,20;6150,84
14 - Bilanzielle Abschreibungen;;388,51;;6,19;6,20;6,19;6,20;6,19
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;11832,21;;17587,79;17587,79;17587,79;17587,79;17587,79
17 = Ordentliche Aufwendungen;;142062,60;;182921,70;185224,60;187757,78;190064,96;192677,44
18 = Ordentliches Ergebnis (= 10 + 17);;124632,69;;142915,59;145218,48;147751,67;150058,84;152671,33
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;124632,69;;142915,59;145218,48;147751,67;150058,84;152671,33
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;124632,69;;142915,59;145218,48;147751,67;150058,84;152671,33
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;10477,10;;20722,58;20734,72;20758,38;20794,35;20897,83
29 = Teilergebnis  (= 26, 27, 28);;135109,79;;163638,17;165953,20;168510,05;170853,19;173569,16
