;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-241780,67;-412359,07;-7,08;-26,76;-26,76;-13,44;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-47482,52;-1178,60;;;;;;
7 + Sonstige ordentliche Erträge;;-14,60;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-289263,19;-413552,27;-7,08;-26,76;-26,76;-13,44;;
11 - Personalaufwendungen;462561,71;436420,54;307490,50;320519,91;319571,12;320715,76;321886,92;325806,44
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;11507,88;9284,50;13806,16;12052,64;12334,92;12628,92;12828,84;13040,52
14 - Bilanzielle Abschreibungen;11695,82;4428,63;11555,19;26,76;26,76;13,44;;
15 - Transferaufwendungen;367250,84;264563,04;;;;;;
16 - Sonstige ordentliche Aufwendungen;13953,36;13324,53;25761,04;23733,68;23733,68;23733,68;23733,64;23733,68
17 = Ordentliche Aufwendungen;866969,61;728021,24;358612,89;356332,99;355666,48;357091,80;358449,40;362580,64
18 = Ordentliches Ergebnis (= 10 + 17);577706,42;314468,97;358605,81;356306,23;355639,72;357078,36;358449,40;362580,64
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);577706,42;314468,97;358605,81;356306,23;355639,72;357078,36;358449,40;362580,64
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);577706,42;314468,97;358605,81;356306,23;355639,72;357078,36;358449,40;362580,64
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;100290,15;73105,30;89499,82;70229,47;69982,95;69849,39;69762,73;69917,33
29 = Teilergebnis  (= 26, 27, 28);677996,57;387574,27;448105,63;426535,70;425622,67;426927,75;428212,13;432497,97
