;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-6,84;-147,81;-6,96;-26,76;-26,76;-13,32;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-160,00;-130,00;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;0,00;;;;;;;
7 + Sonstige ordentliche Erträge;;-14,60;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-166,84;-292,41;-6,96;-26,76;-26,76;-13,32;;
11 - Personalaufwendungen;462561,31;436420,10;307490,22;320519,59;319570,53;320714,96;321886,39;325805,91
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;11507,76;9284,45;13805,92;12052,32;12334,56;12628,56;12828,48;13040,20
14 - Bilanzielle Abschreibungen;11695,58;4428,49;11555,03;26,76;26,76;13,32;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;13953,20;13324,34;25760,68;23733,04;23733,04;23733,04;23733,12;23733,08
17 = Ordentliche Aufwendungen;499717,85;463457,38;358611,85;356331,71;355664,89;357089,88;358447,99;362579,19
18 = Ordentliches Ergebnis (= 10 + 17);499551,01;463164,97;358604,89;356304,95;355638,13;357076,56;358447,99;362579,19
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);499551,01;463164,97;358604,89;356304,95;355638,13;357076,56;358447,99;362579,19
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);499551,01;463164,97;358604,89;356304,95;355638,13;357076,56;358447,99;362579,19
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;100319,42;73112,11;89543,98;70228,99;69982,44;69848,90;69762,25;69916,76
29 = Teilergebnis  (= 26, 27, 28);599870,43;536277,08;448148,87;426533,94;425620,57;426925,46;428210,24;432495,95
