;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-20,64;-130,58;-20,64;-130,58;-130,57;-130,58;-130,57;-130,59
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-1309,00;;;;;;
7 + Sonstige ordentliche Erträge;;-2647,49;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-20,64;-4087,07;-20,64;-130,58;-130,57;-130,58;-130,57;-130,59
11 - Personalaufwendungen;1238500,62;1340440,86;1296477,18;1186431,02;1184677,14;1188568,26;1197725,58;1214105,24
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;37642,06;34553,50;42266,28;44809,84;45973,84;47175,16;47995,84;48838,96
14 - Bilanzielle Abschreibungen;2598,57;2632,96;306,61;297,74;297,73;297,73;297,73;297,73
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;115626,15;93584,82;122947,79;105803,09;105803,09;105803,09;105803,09;105803,09
17 = Ordentliche Aufwendungen;1394367,40;1471212,14;1461997,86;1337341,69;1336751,80;1341844,24;1351822,24;1369045,02
18 = Ordentliches Ergebnis (= 10 + 17);1394346,76;1467125,07;1461977,22;1337211,11;1336621,23;1341713,66;1351691,67;1368914,43
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1394346,76;1467125,07;1461977,22;1337211,11;1336621,23;1341713,66;1351691,67;1368914,43
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1394346,76;1467125,07;1461977,22;1337211,11;1336621,23;1341713,66;1351691,67;1368914,43
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;434447,44;388976,57;235244,60;157052,54;156236,10;155729,50;155651,67;156318,66
29 = Teilergebnis  (= 26, 27, 28);1828794,20;1856101,64;1697221,82;1494263,65;1492857,33;1497443,16;1507343,34;1525233,09
