"";"Ergebnis des Vorvorvorjahres K4/2011";"Ergebnis des Vorvorjahres K4/2012";"Ansatz des Vorjahres K4/2013";"Planung des Haushaltsjahres K4/2014";"Planung des Haushaltsjahres K4/2015";"Planung des Haushaltsjahres K4/2016";"Planung des Haushaltsjahres K4/2017";"Planung des Haushaltsjahres K4/2018"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-135.471,79 EUR";"-471.226,82 EUR";"-1.780.362,84 EUR";"-2.556.278,48 EUR";"-280.108,48 EUR";"-60.204,84 EUR";"-57,48 EUR";"-16,32 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"";"-59,89 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-135.471,79 EUR";"-471.286,71 EUR";"-1.780.362,84 EUR";"-2.556.278,48 EUR";"-280.108,48 EUR";"-60.204,84 EUR";"-57,48 EUR";"-16,32 EUR"
"11 - Personalaufwendungen";"24.142,71 EUR";"88.433,33 EUR";"65.360,28 EUR";"78.737,76 EUR";"74.604,92 EUR";"72.140,72 EUR";"70.205,11 EUR";"70.435,44 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"66.126,60 EUR";"424.470,13 EUR";"1.782.318,36 EUR";"1.433.940,84 EUR";"23.383,60 EUR";"7.479,36 EUR";"7.544,88 EUR";"7.611,96 EUR"
"14 - Bilanzielle Abschreibungen";"1.342,20 EUR";"4.247,09 EUR";"3.815,40 EUR";"4.030,80 EUR";"4.025,40 EUR";"3.942,14 EUR";"3.794,88 EUR";"3.753,60 EUR"
"15 - Transferaufwendungen";"77.047,51 EUR";"86.939,38 EUR";"385.645,00 EUR";"1.638.900,00 EUR";"329.835,00 EUR";"92.300,00 EUR";"";""
"16 - Sonstige ordentliche Aufwendungen";"9.711,54 EUR";"16.830,34 EUR";"17.430,60 EUR";"17.530,80 EUR";"17.710,20 EUR";"12.789,60 EUR";"12.969,00 EUR";"12.969,00 EUR"
"17 = Ordentliche Aufwendungen";"178.370,56 EUR";"620.920,27 EUR";"2.254.569,64 EUR";"3.173.140,20 EUR";"449.559,12 EUR";"188.651,82 EUR";"94.513,87 EUR";"94.770,00 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"42.898,77 EUR";"149.633,56 EUR";"474.206,80 EUR";"616.861,72 EUR";"169.450,64 EUR";"128.446,98 EUR";"94.456,39 EUR";"94.753,68 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"42.898,77 EUR";"149.633,56 EUR";"474.206,80 EUR";"616.861,72 EUR";"169.450,64 EUR";"128.446,98 EUR";"94.456,39 EUR";"94.753,68 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"42.898,77 EUR";"149.633,56 EUR";"474.206,80 EUR";"616.861,72 EUR";"169.450,64 EUR";"128.446,98 EUR";"94.456,39 EUR";"94.753,68 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"13.403,24 EUR";"45.991,20 EUR";"46.291,08 EUR";"42.009,12 EUR";"42.009,12 EUR";"42.009,12 EUR";"42.009,12 EUR";"42.009,12 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"56.302,01 EUR";"195.624,76 EUR";"520.497,88 EUR";"658.870,84 EUR";"211.459,76 EUR";"170.456,10 EUR";"136.465,51 EUR";"136.762,80 EUR"
