;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-47484,48;-46671,81;-43352,44;-41012,92;-41008,00;-41005,60;-41005,60;-41005,60
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-24050,00;-27200,00;-38350,00;-25000,00;-25000,00;-25000,00;-25000,00;-25000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;-389,84;-5550,00;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-71534,48;-74261,65;-87252,44;-66012,92;-66008,00;-66005,60;-66005,60;-66005,60
11 - Personalaufwendungen;976444,56;1011095,77;1040122,75;868172,72;856994,86;853131,86;853601,36;863502,84
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;33750,49;31229,43;34551,36;32907,20;33787,88;34696,64;35317,56;35955,44
14 - Bilanzielle Abschreibungen;4712,18;4581,23;2586,96;142,45;137,56;135,13;135,12;135,13
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;75515,35;71617,45;88426,90;65818,12;65818,12;65818,12;65818,08;65818,08
17 = Ordentliche Aufwendungen;1090422,58;1118523,88;1165687,97;967040,49;956738,42;953781,75;954872,12;965411,49
18 = Ordentliches Ergebnis (= 10 + 17);1018888,10;1044262,23;1078435,53;901027,57;890730,42;887776,15;888866,52;899405,89
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1018888,10;1044262,23;1078435,53;901027,57;890730,42;887776,15;888866,52;899405,89
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1018888,10;1044262,23;1078435,53;901027,57;890730,42;887776,15;888866,52;899405,89
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;164548,93;162303,13;200446,30;117820,39;116719,39;116018,35;115658,90;116047,57
29 = Teilergebnis  (= 26, 27, 28);1183437,03;1206565,36;1278881,83;1018847,96;1007449,81;1003794,50;1004525,42;1015453,46
