;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-256262,29;-256262,29;-256250,00;-256250,00;-256250,00;-256250,00;-256250,00;-256250,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-17630,00;-17847,00;;;;;;
7 + Sonstige ordentliche Erträge;-5700000,00;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-5973892,29;-274109,29;-256250,00;-256250,00;-256250,00;-256250,00;-256250,00;-256250,00
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;;;;;
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;1791936,00;1802857,00;1933624,30;1933600,00;1933600,00;1933600,00;1933600,00;1933600,00
16 - Sonstige ordentliche Aufwendungen;;;;;;;;
17 = Ordentliche Aufwendungen;1791936,00;1802857,00;1933624,30;1933600,00;1933600,00;1933600,00;1933600,00;1933600,00
18 = Ordentliches Ergebnis (= 10 + 17);-4181956,29;1528747,71;1677374,30;1677350,00;1677350,00;1677350,00;1677350,00;1677350,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;0,00;10,91;;;;;;
21 = Finanzergebnis (= 19 + 20);0,00;10,91;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);-4181956,29;1528758,62;1677374,30;1677350,00;1677350,00;1677350,00;1677350,00;1677350,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);-4181956,29;1528758,62;1677374,30;1677350,00;1677350,00;1677350,00;1677350,00;1677350,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);-4181956,29;1528758,62;1677374,30;1677350,00;1677350,00;1677350,00;1677350,00;1677350,00
