;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-9087,23;-12302,83;-923,13;-1302,00;-1301,85;-1300,43;-1290,93;-1237,81
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-22425,31;-6575,00;-36350,00;-36350,00;-36350,00;-36350,00;-36350,00;-36350,00
7 + Sonstige ordentliche Erträge;-912,96;-544,54;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-32425,50;-19422,37;-37273,13;-37652,00;-37651,85;-37650,43;-37640,93;-37587,81
11 - Personalaufwendungen;262296,78;241409,94;271712,31;200560,48;203760,88;206978,68;210170,72;213411,92
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;34177,15;43629,05;24597,76;24602,56;24794,32;24990,64;25125,04;25262,92
14 - Bilanzielle Abschreibungen;5288,46;5230,94;3124,58;3036,78;2726,07;2447,44;2283,62;2115,97
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;24808,83;33478,69;11663,13;10474,35;10474,35;10474,35;10474,35;10474,35
17 = Ordentliche Aufwendungen;326571,22;323748,62;311097,78;238674,17;241755,62;244891,11;248053,73;251265,16
18 = Ordentliches Ergebnis (= 10 + 17);294145,72;304326,25;273824,65;201022,17;204103,77;207240,68;210412,80;213677,35
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);294145,72;304326,25;273824,65;201022,17;204103,77;207240,68;210412,80;213677,35
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);294145,72;304326,25;273824,65;201022,17;204103,77;207240,68;210412,80;213677,35
27 + Erträge aus internen Leistungsbeziehungen;-4247,39;-3997,15;-6000,00;-5000,04;-5000,04;-5000,04;-5000,04;-5000,04
28 - Aufwendungen aus internen Leistungsbeziehungen;44457,45;53047,07;28971,43;18866,50;18895,78;18926,06;18983,89;19115,90
29 = Teilergebnis  (= 26, 27, 28);334355,78;353376,17;296796,08;214888,63;217999,51;221166,70;224396,65;227793,21
