;Ergebnis des Vorvorvorjahres K4/2011;Ergebnis des Vorvorjahres K4/2012;Ansatz des Vorjahres K4/2013;Planung des Haushaltsjahres K4/2014;Planung des Haushaltsjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-2352,92;-21,93;;-0,69;-0,69;-0,69;-0,69;-0,69
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;-75,05;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-2352,92;-96,98;;-0,69;-0,69;-0,69;-0,69;-0,69
11 - Personalaufwendungen;22597,22;25847,90;29323,57;24749,52;24363,80;24195,82;24199,31;24482,16
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;595,96;498,83;728,74;486,64;498,16;509,80;517,92;526,12
14 - Bilanzielle Abschreibungen;2968,34;18,68;;0,84;0,84;0,84;0,84;0,84
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;693,69;762,35;789,20;584,48;584,48;584,48;584,52;584,64
17 = Ordentliche Aufwendungen;26855,21;27127,76;30841,51;25821,48;25447,28;25290,94;25302,59;25593,76
18 = Ordentliches Ergebnis (= 10 + 17);24502,29;27030,78;30841,51;25820,79;25446,59;25290,25;25301,90;25593,07
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);24502,29;27030,78;30841,51;25820,79;25446,59;25290,25;25301,90;25593,07
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);24502,29;27030,78;30841,51;25820,79;25446,59;25290,25;25301,90;25593,07
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;3991,35;3934,48;4509,81;4188,29;4152,10;4123,73;4117,09;4129,07
29 = Teilergebnis  (= 26, 27, 28);28493,64;30965,26;35351,32;30009,08;29598,69;29413,98;29418,99;29722,14
