;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-890417,14;-641669,32;-719221,35;-465348,10;-465308,18;-462626,42;-437323,05;-416740,89
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-32496,92;-59035,62;-45000,00;-49000,00;-49000,00;-49000,00;-49000,00;-49000,00
5 + Privatrechtliche Leistungsentgelte;-3432100,73;-2901043,33;-2960360,00;-2899700,00;-2914700,00;-2914700,00;-2914700,00;-2914700,00
6 + Kostenerstattungen und Kostenumlagen;-205372,82;-282407,87;-280000,00;-280000,00;-280000,00;-280000,00;-280000,00;-280000,00
7 + Sonstige ordentliche Erträge;-29639,08;-13970,68;-10012,28;-14370,97;-14295,16;-14241,05;-13151,31;-9882,35
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-4590026,69;-3898126,82;-4014593,63;-3708419,07;-3723303,34;-3720567,47;-3694174,36;-3670323,24
11 - Personalaufwendungen;5937343,17;5650065,12;6257132,52;6243253,63;6206768,10;6264381,20;6352095,25;6440856,51
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;7785445,30;7918242,49;7687826,00;7611100,00;7697400,00;7785600,00;7872240,00;7960810,00
14 - Bilanzielle Abschreibungen;1564392,87;920859,81;627399,33;860797,41;758219,52;700045,46;579748,65;435577,02
15 - Transferaufwendungen;932814,24;826008,00;1095350,00;725350,00;725350,00;725350,00;725350,00;725350,00
16 - Sonstige ordentliche Aufwendungen;11025061,42;10802462,17;11134320,00;11646990,00;11648840,00;11650990,00;11653190,00;11655390,00
17 = Ordentliche Aufwendungen;27245057,00;26117637,59;26802027,85;27087491,04;27036577,62;27126366,66;27182623,90;27217983,53
18 = Ordentliches Ergebnis (= 10 + 17);22655030,31;22219510,77;22787434,22;23379071,97;23313274,28;23405799,19;23488449,54;23547660,29
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);22655030,31;22219510,77;22787434,22;23379071,97;23313274,28;23405799,19;23488449,54;23547660,29
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);22655030,31;22219510,77;22787434,22;23379071,97;23313274,28;23405799,19;23488449,54;23547660,29
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;1100278,83;1093124,83;1032700,82;952017,44;944859,32;945727,51;950434,33;960823,41
29 = Teilergebnis  (= 26, 27, 28);23755309,14;23312635,60;23820135,04;24331089,41;24258133,60;24351526,70;24438883,87;24508483,70
