;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-61942,69;-545,60;-265,48;-310,12;-310,84;-302,92;-281,19;-279,28
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-137690954,87;-138593612,40;-134886300,00;-29370000,00;-29800350,00;-30240000,00;-30680000,00;-31130000,00
5 + Privatrechtliche Leistungsentgelte;-1976,45;;0,00;0,00;0,00;0,00;0,00;0,00
6 + Kostenerstattungen und Kostenumlagen;-388972,91;-245766,00;-290700,00;0,00;0,00;0,00;0,00;0,00
7 + Sonstige ordentliche Erträge;-20914978,71;-21366393,39;-20420000,00;-17800000,00;-17800000,00;-17800000,00;-17800000,00;-17800000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-159058825,63;-160206317,39;-155597265,48;-47170310,12;-47600660,84;-48040302,92;-48480281,19;-48930279,28
11 - Personalaufwendungen;504507,31;301460,70;257631,16;241609,29;244209,63;246140,24;249082,04;252060,11
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;80460861,93;110540939,96;106633565,88;683393,44;683505,04;683592,04;683678,92;683773,12
14 - Bilanzielle Abschreibungen;2667852,53;566,94;355,79;400,44;401,10;385,59;281,07;279,16
15 - Transferaufwendungen;2891000,00;2891000,00;2891000,00;71000,00;71000,00;71000,00;71000,00;71000,00
16 - Sonstige ordentliche Aufwendungen;54447698,63;28394352,88;28905973,40;30317590,28;30742654,72;31172654,72;31612654,72;32057654,72
17 = Ordentliche Aufwendungen;140971920,40;142128320,48;138688526,23;31313993,45;31741770,49;32173772,59;32616696,75;33064767,11
18 = Ordentliches Ergebnis (= 10 + 17);-18086905,23;-18077996,91;-16908739,25;-15856316,67;-15858890,35;-15866530,33;-15863584,44;-15865512,17
19 + Finanzerträge;;;;-3600000,00;-1500000,00;-1000000,00;-1000000,00;-1000000,00
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;-3600000,00;-1500000,00;-1000000,00;-1000000,00;-1000000,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);-18086905,23;-18077996,91;-16908739,25;-19456316,67;-17358890,35;-16866530,33;-16863584,44;-16865512,17
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);-18086905,23;-18077996,91;-16908739,25;-19456316,67;-17358890,35;-16866530,33;-16863584,44;-16865512,17
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;1353128,20;933911,78;941564,40;938629,20;938662,48;938646,07;938723,46;938907,87
29 = Teilergebnis  (= 26, 27, 28);-16733777,03;-17144085,13;-15967174,85;-18517687,47;-16420227,87;-15927884,26;-15924860,98;-15926604,30
