;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-207053,80;-214055,04;-243759,58;-859,60;-859,58;-859,60;-859,58;-859,60
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-90000,00;-90000,00;-90000,00;-90000,00;-90000,00;-90000,00;-90000,00;-90000,00
6 + Kostenerstattungen und Kostenumlagen;-21466,09;-1944,14;;;;;;
7 + Sonstige ordentliche Erträge;-80193,96;-235531,14;-10342,22;-10342,21;-10342,21;-10342,22;-10342,21;-10342,22
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-398713,85;-541530,32;-344101,80;-101201,81;-101201,79;-101201,82;-101201,79;-101201,82
11 - Personalaufwendungen;563648,71;463402,38;227450,16;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;380627,89;360492,74;419037,80;341750,00;345050,00;348650,00;352150,00;355850,00
14 - Bilanzielle Abschreibungen;138871,17;133151,91;126002,07;132054,58;124166,79;111871,29;35082,52;32741,80
15 - Transferaufwendungen;3483727,30;3332417,24;3827900,00;3783000,00;3783000,00;3783000,00;3783000,00;3783000,00
16 - Sonstige ordentliche Aufwendungen;3388841,87;3370308,35;3270808,04;3360510,00;3360510,00;3360510,00;3360510,00;3360510,00
17 = Ordentliche Aufwendungen;7955716,94;7659772,62;7871198,07;7617314,58;7612726,79;7604031,29;7530742,52;7532101,80
18 = Ordentliches Ergebnis (= 10 + 17);7557003,09;7118242,30;7527096,27;7516112,77;7511525,00;7502829,47;7429540,73;7430899,98
19 + Finanzerträge;-2322939,28;-2676744,84;-2930000,00;-2930000,00;-2930000,00;-2930000,00;-2930000,00;-2930000,00
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);-2322939,28;-2676744,84;-2930000,00;-2930000,00;-2930000,00;-2930000,00;-2930000,00;-2930000,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);5234063,81;4441497,46;4597096,27;4586112,77;4581525,00;4572829,47;4499540,73;4500899,98
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);5234063,81;4441497,46;4597096,27;4586112,77;4581525,00;4572829,47;4499540,73;4500899,98
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;66325,25;45723,48;66575,04;15234,19;15147,30;15167,87;15248,18;15475,57
29 = Teilergebnis  (= 26, 27, 28);5300389,06;4487220,94;4663671,31;4601346,96;4596672,30;4587997,34;4514788,91;4516375,55
