;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;-446990249,96;-414347691,81;-453197000,00;-470272000,00;-488817000,00;-503376000,00;-517675000,00;-525595000,00
2 + Zuwendungen und allgemeine Umlagen;-266849656,93;-284543255,55;-310461700,00;-307811700,00;-321411700,00;-316500000,00;-314000000,00;-310400000,00
3 + Sonstige Transfererträge;;;;;0,00;0,00;0,00;0,00
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;0,00;0,00;0,00;0,00
5 + Privatrechtliche Leistungsentgelte;;;;;0,00;0,00;0,00;0,00
6 + Kostenerstattungen und Kostenumlagen;-10299319,97;-23115333,26;-21247020,00;-17629200,00;-16825100,00;-16666000,00;-16280600,00;-15961800,00
7 + Sonstige ordentliche Erträge;-25804648,14;-18249684,73;-4600000,00;-4600000,00;-4600000,00;-4600000,00;-4600000,00;-4600000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-749943875,00;-740255965,35;-789505720,00;-800312900,00;-831653800,00;-841142000,00;-852555600,00;-856556800,00
11 - Personalaufwendungen;;;500000,00;0,00;0,00;-1500000,00;-1500000,00;-1500000,00
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;0,00;0,00;0,00;0,00;0,00;0,00;0,00
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;119960711,07;120513391,45;127155000,00;132140000,00;138200000,00;143250000,00;148550000,00;138650000,00
16 - Sonstige ordentliche Aufwendungen;22620634,11;9528033,37;988820,00;1073300,00;1073300,00;1073300,00;1073300,00;1073300,00
17 = Ordentliche Aufwendungen;142581345,18;130041424,82;128643820,00;133213300,00;139273300,00;142823300,00;148123300,00;138223300,00
18 = Ordentliches Ergebnis (= 10 + 17);-607362529,82;-610214540,53;-660861900,00;-667099600,00;-692380500,00;-698318700,00;-704432300,00;-718333500,00
19 + Finanzerträge;-2224330,38;-3160041,95;-1765900,00;-1706200,00;-1654400,00;-1600900,00;-1593700,00;-1586500,00
20 - Zinsen und sonstige Finanzaufwendungen;46783067,67;43213007,68;55082200,00;45313750,00;46900350,00;45454750,00;44770150,00;44743950,00
21 = Finanzergebnis (= 19 + 20);44558737,29;40052965,73;53316300,00;43607550,00;45245950,00;43853850,00;43176450,00;43157450,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);-562803792,53;-570161574,80;-607545600,00;-623492050,00;-647134550,00;-654464850,00;-661255850,00;-675176050,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);-562803792,53;-570161574,80;-607545600,00;-623492050,00;-647134550,00;-654464850,00;-661255850,00;-675176050,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);-562803792,53;-570161574,80;-607545600,00;-623492050,00;-647134550,00;-654464850,00;-661255850,00;-675176050,00
