;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1479,48;-593,70;-29,40;-125,91;-125,90;-125,91;-125,90;-125,91
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-18738,59;-27809,46;-33114,82;-31096,11;-31112,38;-31168,55;-31287,20;-31279,08
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-20218,07;-28403,16;-33144,22;-31222,02;-31238,28;-31294,46;-31413,10;-31404,99
11 - Personalaufwendungen;1019564,46;1003325,80;974996,27;1044055,98;1044957,18;1050175,31;1063953,94;1077897,81
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;22745,42;25678,74;27150,00;25800,00;26300,00;26800,00;27400,00;27900,00
14 - Bilanzielle Abschreibungen;467,51;724,67;173,37;269,87;269,88;269,87;269,88;269,87
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;68905,58;67981,96;84600,00;81450,00;81450,00;81450,00;81450,00;81450,00
17 = Ordentliche Aufwendungen;1111682,97;1097711,17;1086919,64;1151575,85;1152977,06;1158695,18;1173073,82;1187517,68
18 = Ordentliches Ergebnis (= 10 + 17);1091464,90;1069308,01;1053775,42;1120353,83;1121738,78;1127400,72;1141660,72;1156112,69
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1091464,90;1069308,01;1053775,42;1120353,83;1121738,78;1127400,72;1141660,72;1156112,69
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1091464,90;1069308,01;1053775,42;1120353,83;1121738,78;1127400,72;1141660,72;1156112,69
27 + Erträge aus internen Leistungsbeziehungen;-1094957,97;-1109224,72;-1049211,59;-1136640,38;-1137921,81;-1143158,79;-1156349,22;-1169717,78
28 - Aufwendungen aus internen Leistungsbeziehungen;92451,48;102043,84;80507,12;108446,00;108446,00;108446,00;108446,00;108446,00
29 = Teilergebnis  (= 26, 27, 28);88958,41;62127,13;85070,95;92159,45;92262,97;92687,93;93757,50;94840,91
