;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1842,85;-999,61;-526,65;-565,59;-232,40;-65,79;-65,80;-65,79
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-36380,95;-49882,19;-53990,84;-46478,13;-46606,51;-46816,75;-46971,26;-46939,88
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-38223,80;-50881,80;-54517,49;-47043,72;-46838,91;-46882,54;-47037,06;-47005,67
11 - Personalaufwendungen;2156565,68;1999194,13;1744060,76;1732136,61;1737950,03;1751144,65;1771276,50;1791661,91
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;24441,82;27065,26;25700,00;26000,00;26500,00;27000,00;27500,00;28000,00
14 - Bilanzielle Abschreibungen;1204,17;1052,39;579,42;579,63;238,69;72,08;72,09;72,08
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;26263,79;27339,37;29300,00;35150,00;35150,00;35150,00;35150,00;35150,00
17 = Ordentliche Aufwendungen;2208475,46;2054651,15;1799640,18;1793866,24;1799838,72;1813366,73;1833998,59;1854883,99
18 = Ordentliches Ergebnis (= 10 + 17);2170251,66;2003769,35;1745122,69;1746822,52;1752999,81;1766484,19;1786961,53;1807878,32
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);2170251,66;2003769,35;1745122,69;1746822,52;1752999,81;1766484,19;1786961,53;1807878,32
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);2170251,66;2003769,35;1745122,69;1746822,52;1752999,81;1766484,19;1786961,53;1807878,32
27 + Erträge aus internen Leistungsbeziehungen;-2124620,09;-1989630,43;-1711197,21;-1698742,99;-1704456,87;-1716929,74;-1735871,40;-1755219,43
28 - Aufwendungen aus internen Leistungsbeziehungen;128278,37;97300,18;104820,10;89655,56;89655,56;89655,56;89655,56;89655,56
29 = Teilergebnis  (= 26, 27, 28);173909,94;111439,10;138745,58;137735,09;138198,50;139210,01;140745,69;142314,45
