;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-3152,26;-2913,30;-2625,24;-135,48;-90,24;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-149669,96;-158741,39;-243900,00;-160000,00;-160000,00;-160000,00;-160000,00;-160000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-6155,56;-7670,49;-33209,31;-29059,55;-29053,17;-29069,78;-29077,62;-29057,72
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-158977,78;-169325,18;-279734,55;-189195,03;-189143,41;-189069,78;-189077,62;-189057,72
11 - Personalaufwendungen;407510,31;353792,75;419938,96;397583,93;395704,68;397943,75;401884,14;405876,90
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;58618,15;54633,36;68558,36;80023,92;81270,36;82472,28;83941,32;85454,80
14 - Bilanzielle Abschreibungen;3047,26;3199,35;2671,45;176,12;130,86;40,64;40,62;40,64
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;267544,00;295793,61;372099,60;269837,28;269837,28;269837,32;269837,32;269837,32
17 = Ordentliche Aufwendungen;736719,72;707419,07;863268,37;747621,25;746943,18;750293,99;755703,40;761209,66
18 = Ordentliches Ergebnis (= 10 + 17);577741,94;538093,89;583533,82;558426,22;557799,77;561224,21;566625,78;572151,94
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);577741,94;538093,89;583533,82;558426,22;557799,77;561224,21;566625,78;572151,94
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);577741,94;538093,89;583533,82;558426,22;557799,77;561224,21;566625,78;572151,94
27 + Erträge aus internen Leistungsbeziehungen;-359501,85;-305798,39;-354923,99;-257921,48;-257847,37;-259177,28;-261463,58;-263807,96
28 - Aufwendungen aus internen Leistungsbeziehungen;115494,71;100719,22;119514,91;70871,32;70701,51;70700,73;70780,77;70950,72
29 = Teilergebnis  (= 26, 27, 28);333734,80;333014,72;348124,74;371376,06;370653,91;372747,66;375942,97;379294,70
