"";"Ergebnis des Vorvorvorjahres #/2013";"Ergebnis des Vorvorjahres #/2014";"Ansatz des Vorjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018";"Planung des Haushaltsjahres #/2019";"Planung des Haushaltsjahres #/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-9.460,67 EUR";"-4.560,23 EUR";"-2.998,30 EUR";"";"";"";"";""
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-73.586,14 EUR";"-77.367,60 EUR";"-70.000,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"7 + Sonstige ordentliche Erträge";"-593,35 EUR";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-83.640,16 EUR";"-81.927,83 EUR";"-72.998,30 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"11 - Personalaufwendungen";"1.000.756,91 EUR";"438.090,56 EUR";"769.007,32 EUR";"";"";"";"";""
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"261.456,94 EUR";"249.289,33 EUR";"304.008,36 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"14 - Bilanzielle Abschreibungen";"3.828,03 EUR";"4.576,49 EUR";"2.998,30 EUR";"";"";"";"";""
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"239.774,31 EUR";"204.376,39 EUR";"292.332,76 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"17 = Ordentliche Aufwendungen";"1.505.816,19 EUR";"896.332,77 EUR";"1.368.346,74 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"1.422.176,03 EUR";"814.404,94 EUR";"1.295.348,44 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"1.422.176,03 EUR";"814.404,94 EUR";"1.295.348,44 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"1.422.176,03 EUR";"814.404,94 EUR";"1.295.348,44 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-1.517.484,84 EUR";"-867.762,94 EUR";"-1.388.233,00 EUR";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"161.677,20 EUR";"92.091,91 EUR";"142.962,43 EUR";"";"";"";"";""
"29 = Teilergebnis  (= 26, 27, 28)";"66.368,39 EUR";"38.733,91 EUR";"50.077,87 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
