;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1534,14;-4149,28;-524,06;-700,94;-410,21;-401,48;-114,82;-88,75
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-77,40;-443,00;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1293042,69;-217294,41;-520000,00;-773568,43;-773454,55;-773430,60;-773520,25;-773597,51
7 + Sonstige ordentliche Erträge;-1445,73;-3923,25;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1296099,96;-225809,94;-520524,06;-774269,37;-773864,76;-773832,08;-773635,07;-773686,26
11 - Personalaufwendungen;849850,49;811886,13;721600,12;1168893,83;1159111,77;1160192,21;1173512,68;1187000,94
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;62946,36;19898,66;20000,00;34250,00;34750,00;35450,00;35950,00;37150,00
14 - Bilanzielle Abschreibungen;1305,95;4250,37;625,13;802,04;511,28;502,58;215,89;189,85
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;1765170,25;1687411,49;1500100,00;1514836,00;1517900,00;1521900,00;1524900,00;1528100,00
17 = Ordentliche Aufwendungen;2679273,05;2523446,65;2242325,25;2718781,87;2712273,05;2718044,79;2734578,57;2752440,79
18 = Ordentliches Ergebnis (= 10 + 17);1383173,09;2297636,71;1721801,19;1944512,50;1938408,29;1944212,71;1960943,50;1978754,53
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1383173,09;2297636,71;1721801,19;1944512,50;1938408,29;1944212,71;1960943,50;1978754,53
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1383173,09;2297636,71;1721801,19;1944512,50;1938408,29;1944212,71;1960943,50;1978754,53
27 + Erträge aus internen Leistungsbeziehungen;-1105839,68;-1085424,00;-1085424,00;-1214534,18;-1210464,36;-1209943,63;-1214214,40;-1218630,20
28 - Aufwendungen aus internen Leistungsbeziehungen;133330,37;151712,16;124886,54;143751,31;142998,69;142784,62;143000,67;143574,34
29 = Teilergebnis  (= 26, 27, 28);410663,78;1363924,87;761263,73;873729,63;870942,62;877053,70;889729,77;903698,67
