;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;-34,93;;-34,93;-34,93;-34,93;-34,93;-34,93
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;-37698,83;-30000,00;-30000,00;-30000,00;-30000,00;-30000,00;-30000,00
7 + Sonstige ordentliche Erträge;-755,03;-769,06;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-755,03;-38502,82;-30000,00;-30034,93;-30034,93;-30034,93;-30034,93;-30034,93
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;14,66;24313,32;27000,00;27000,00;27000,00;27000,00;27000,00;27000,00
14 - Bilanzielle Abschreibungen;15592,86;453,43;418,47;453,43;384,64;301,87;301,84;301,87
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;60548,00;142629,20;255000,00;82000,00;82000,00;82000,00;82000,00;82000,00
17 = Ordentliche Aufwendungen;76155,52;167395,95;282418,47;109453,43;109384,64;109301,87;109301,84;109301,87
18 = Ordentliches Ergebnis (= 10 + 17);75400,49;128893,13;252418,47;79418,50;79349,71;79266,94;79266,91;79266,94
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);75400,49;128893,13;252418,47;79418,50;79349,71;79266,94;79266,91;79266,94
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);75400,49;128893,13;252418,47;79418,50;79349,71;79266,94;79266,91;79266,94
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);75400,49;128893,13;252418,47;79418,50;79349,71;79266,94;79266,91;79266,94
