;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-15598,35;-11343,02;-1023,48;-1874,96;-1532,91;-1055,00;-1055,00;-1055,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-509315,12;-461822,16;-317000,00;-19165,53;-19539,51;-19484,59;-19504,63;-19469,15
7 + Sonstige ordentliche Erträge;-805,00;-505,00;-750,00;-750,00;-750,00;-750,00;-750,00;-750,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-525718,47;-473670,18;-318773,48;-21790,49;-21822,42;-21289,59;-21309,63;-21274,15
11 - Personalaufwendungen;1792606,69;1672091,52;1508521,04;1352802,98;1328136,29;1331694,90;1346621,38;1361737,52
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;267421,89;287546,04;559461,64;207768,12;207805,12;197840,40;197883,36;197927,84
14 - Bilanzielle Abschreibungen;4323,55;11412,67;2766,06;1882,38;1540,33;1062,42;1062,41;1062,42
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;1915374,51;1882200,13;1866147,24;197998,56;197998,52;197998,40;199998,40;199998,40
17 = Ordentliche Aufwendungen;3979726,64;3853250,36;3936895,98;1760452,04;1735480,26;1728596,12;1745565,55;1760726,18
18 = Ordentliches Ergebnis (= 10 + 17);3454008,17;3379580,18;3618122,50;1738661,55;1713657,84;1707306,53;1724255,92;1739452,03
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);3454008,17;3379580,18;3618122,50;1738661,55;1713657,84;1707306,53;1724255,92;1739452,03
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);3454008,17;3379580,18;3618122,50;1738661,55;1713657,84;1707306,53;1724255,92;1739452,03
27 + Erträge aus internen Leistungsbeziehungen;-3739415,91;-3522698,72;-3494397,10;-1749621,19;-1763644,80;-1763106,94;-1767817,31;-1772634,31
28 - Aufwendungen aus internen Leistungsbeziehungen;286877,77;306146,45;265679,84;215615,28;213185,87;212566,01;212777,73;213384,79
29 = Teilergebnis  (= 26, 27, 28);1470,03;163027,91;389405,24;204655,64;163198,91;156765,60;169216,34;180202,51
