;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-19062,49;-13701,49;-6236,12;-3876,00;-2421,00;-1560,00;-1052,00;-1001,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-440148,66;-476234,08;-370000,00;-420000,00;-420000,00;-420000,00;-420000,00;-420000,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-459211,15;-489935,57;-376236,12;-423876,00;-422421,00;-421560,00;-421052,00;-421001,00
11 - Personalaufwendungen;1918621,88;1894298,99;2250456,72;2502482,04;2529300,88;2551713,16;2585853,36;2620405,84
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;33029,12;42081,13;46219,96;54050,00;54750,00;55450,00;56250,00;56950,00
14 - Bilanzielle Abschreibungen;20087,83;15331,56;7782,30;5417,00;3947,00;2926,00;2418,00;2367,00
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;139300,76;139406,67;147024,12;149200,00;149200,00;149200,00;149200,00;149200,00
17 = Ordentliche Aufwendungen;2111039,59;2091118,35;2451483,10;2711149,04;2737197,88;2759289,16;2793721,36;2828922,84
18 = Ordentliches Ergebnis (= 10 + 17);1651828,44;1601182,78;2075246,98;2287273,04;2314776,88;2337729,16;2372669,36;2407921,84
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1651828,44;1601182,78;2075246,98;2287273,04;2314776,88;2337729,16;2372669,36;2407921,84
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1651828,44;1601182,78;2075246,98;2287273,04;2314776,88;2337729,16;2372669,36;2407921,84
27 + Erträge aus internen Leistungsbeziehungen;-1435764,50;-1457924,40;-1257540,00;-1675196,00;-1678650,47;-1680028,59;-1682127,87;-1684245,67
28 - Aufwendungen aus internen Leistungsbeziehungen;363797,49;310367,73;296860,45;117820,76;117274,87;117281,45;118197,22;120058,33
29 = Teilergebnis  (= 26, 27, 28);579861,43;453626,11;1114567,43;729897,80;753401,28;774982,02;808738,71;843734,50
