;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-5277296,00;-4935670,21;-1170400,00;-1421000,00;-1321000,00;-1223100,00;-1223100,00;-1223100,00
7 + Sonstige ordentliche Erträge;-11073450,82;-9860325,10;-11272924,00;-11410331,00;-11410331,00;-11410331,00;-11410331,00;-11410331,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-16350746,82;-14795995,31;-12463324,00;-12851331,00;-12751331,00;-12653431,00;-12653431,00;-12653431,00
11 - Personalaufwendungen;2454138,71;6555177,71;4335131,00;8909512,66;8112387,34;9132949,56;9037622,32;9095120,14
12 - Versorgungsaufwendungen;31029974,74;41305997,61;24129252,00;26096000,00;26145612,00;26639706,00;26852206,00;28064899,00
13 - Aufwendungen für Sach- und Dienstleistungen;-35578,09;208764,22;69700,00;119700,00;119700,00;69700,00;69700,00;69700,00
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;;0,00;;;;;;
16 - Sonstige ordentliche Aufwendungen;2488369,14;1309026,92;1657000,00;1782000,00;1797000,00;1732150,00;1732150,00;1732150,00
17 = Ordentliche Aufwendungen;35936904,50;49378966,46;30191083,00;36907212,66;36174699,34;37574505,56;37691678,32;38961869,14
18 = Ordentliches Ergebnis (= 10 + 17);19586157,68;34582971,15;17727759,00;24055881,66;23423368,34;24921074,56;25038247,32;26308438,14
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;108,00;;;;;;
21 = Finanzergebnis (= 19 + 20);;108,00;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);19586157,68;34583079,15;17727759,00;24055881,66;23423368,34;24921074,56;25038247,32;26308438,14
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);19586157,68;34583079,15;17727759,00;24055881,66;23423368,34;24921074,56;25038247,32;26308438,14
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);19586157,68;34583079,15;17727759,00;24055881,66;23423368,34;24921074,56;25038247,32;26308438,14
