;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-14280,00;;;-1500000,00;-3000000,00;-3000000,00;-12000000,00;-12000000,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-64835,40;;;;;;;
7 + Sonstige ordentliche Erträge;;-35087,05;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-79115,40;-35087,05;;-1500000,00;-3000000,00;-3000000,00;-12000000,00;-12000000,00
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;575640,82;836644,07;861500,00;834600,00;851500,00;868500,00;886000,00;904000,00
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;19008147,71;19076128,66;18687500,00;20761500,00;22610400,00;22697300,00;31854900,00;32013200,00
16 - Sonstige ordentliche Aufwendungen;2443489,84;2319198,54;3025650,00;2384290,00;2384580,00;2384880,00;2385180,00;2385500,00
17 = Ordentliche Aufwendungen;22027278,37;22231971,27;22574650,00;23980390,00;25846480,00;25950680,00;35126080,00;35302700,00
18 = Ordentliches Ergebnis (= 10 + 17);21948162,97;22196884,22;22574650,00;22480390,00;22846480,00;22950680,00;23126080,00;23302700,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);21948162,97;22196884,22;22574650,00;22480390,00;22846480,00;22950680,00;23126080,00;23302700,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);21948162,97;22196884,22;22574650,00;22480390,00;22846480,00;22950680,00;23126080,00;23302700,00
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;28417,25;18600,00;25656,00;6516,00;6516,00;6516,00;6516,00;6516,00
29 = Teilergebnis  (= 26, 27, 28);21976580,22;22215484,22;22600306,00;22486906,00;22852996,00;22957196,00;23132596,00;23309216,00
