;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-30575,65;-75350,18;-5696,65;-2605,29;-1963,99;-1963,98;-1896,19;-1150,42
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-67553,85;-47308,01;-43050,00;-57050,00;-58050,00;-59050,00;-59050,00;-59050,00
6 + Kostenerstattungen und Kostenumlagen;;-15936,45;;-1000,00;-1000,00;-1000,00;-1000,00;-1000,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-98129,50;-138594,64;-48746,65;-60655,29;-61013,99;-62013,98;-61946,19;-61200,42
11 - Personalaufwendungen;918565,15;811663,27;747421,18;797769,54;749452,40;757322,40;766746,75;776284,56
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;185776,36;253408,70;154500,00;176950,00;180150,00;183450,00;186750,00;190150,00
14 - Bilanzielle Abschreibungen;9282,19;10681,93;7247,45;4037,44;3385,03;2968,21;2864,02;2071,17
15 - Transferaufwendungen;52288,22;47700,00;47700,00;47700,00;47700,00;47700,00;47700,00;47700,00
16 - Sonstige ordentliche Aufwendungen;235469,10;227968,63;236000,00;239480,00;239480,00;239480,00;239480,00;239480,00
17 = Ordentliche Aufwendungen;1401381,02;1351422,53;1192868,63;1265936,98;1220167,43;1230920,61;1243540,77;1255685,73
18 = Ordentliches Ergebnis (= 10 + 17);1303251,52;1212827,89;1144121,98;1205281,69;1159153,44;1168906,63;1181594,58;1194485,31
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1303251,52;1212827,89;1144121,98;1205281,69;1159153,44;1168906,63;1181594,58;1194485,31
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1303251,52;1212827,89;1144121,98;1205281,69;1159153,44;1168906,63;1181594,58;1194485,31
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;132500,58;129516,00;113892,84;110212,04;107571,04;107689,51;108049,64;108792,46
29 = Teilergebnis  (= 26, 27, 28);1435752,10;1342343,89;1258014,82;1315493,73;1266724,48;1276596,14;1289644,22;1303277,77
