"";"Ergebnis des Vorvorvorjahres #/2013";"Ergebnis des Vorvorjahres #/2014";"Ansatz des Vorjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018";"Planung des Haushaltsjahres #/2019";"Planung des Haushaltsjahres #/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-361.311,35 EUR";"-299.183,68 EUR";"-285.910,64 EUR";"-293.680,81 EUR";"-293.389,61 EUR";"-292.169,66 EUR";"-291.829,93 EUR";"-276.811,81 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"-2.538.501,58 EUR";"-2.852.255,53 EUR";"-2.903.500,00 EUR";"-3.504.000,00 EUR";"-3.504.000,00 EUR";"-3.684.000,00 EUR";"-4.324.000,00 EUR";"-4.324.000,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"-47.951,63 EUR";"-591,70 EUR";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"-131.004,98 EUR";"-148.026,40 EUR";"-40.854,03 EUR";"-118.615,40 EUR";"-118.337,07 EUR";"-117.084,56 EUR";"-116.667,07 EUR";"-116.667,06 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-3.078.769,54 EUR";"-3.300.057,31 EUR";"-3.230.264,67 EUR";"-3.916.296,21 EUR";"-3.915.726,68 EUR";"-4.093.254,22 EUR";"-4.732.497,00 EUR";"-4.717.478,87 EUR"
"11 - Personalaufwendungen";"4.177.701,14 EUR";"4.265.303,09 EUR";"4.148.857,44 EUR";"4.382.889,46 EUR";"4.404.063,58 EUR";"4.446.021,84 EUR";"4.508.927,33 EUR";"4.572.580,77 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"3.422.084,66 EUR";"3.426.595,89 EUR";"3.661.500,00 EUR";"3.634.400,00 EUR";"3.664.200,00 EUR";"3.694.200,00 EUR";"3.708.600,00 EUR";"3.723.144,00 EUR"
"14 - Bilanzielle Abschreibungen";"1.293.142,22 EUR";"1.284.723,71 EUR";"1.144.493,78 EUR";"1.163.568,92 EUR";"1.143.172,21 EUR";"1.101.315,20 EUR";"1.099.626,26 EUR";"1.000.206,12 EUR"
"15 - Transferaufwendungen";"10.793,29 EUR";"9.355,88 EUR";"17.000,00 EUR";"18.000,00 EUR";"18.000,00 EUR";"18.000,00 EUR";"18.000,00 EUR";"18.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"62.687,59 EUR";"72.950,80 EUR";"67.040,00 EUR";"86.750,00 EUR";"86.750,00 EUR";"86.750,00 EUR";"86.750,00 EUR";"86.750,00 EUR"
"17 = Ordentliche Aufwendungen";"8.966.408,90 EUR";"9.058.929,37 EUR";"9.038.891,22 EUR";"9.285.608,38 EUR";"9.316.185,79 EUR";"9.346.287,04 EUR";"9.421.903,59 EUR";"9.400.680,89 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"5.887.639,36 EUR";"5.758.872,06 EUR";"5.808.626,55 EUR";"5.369.312,17 EUR";"5.400.459,11 EUR";"5.253.032,82 EUR";"4.689.406,59 EUR";"4.683.202,02 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"5.887.639,36 EUR";"5.758.872,06 EUR";"5.808.626,55 EUR";"5.369.312,17 EUR";"5.400.459,11 EUR";"5.253.032,82 EUR";"4.689.406,59 EUR";"4.683.202,02 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"5.887.639,36 EUR";"5.758.872,06 EUR";"5.808.626,55 EUR";"5.369.312,17 EUR";"5.400.459,11 EUR";"5.253.032,82 EUR";"4.689.406,59 EUR";"4.683.202,02 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"634.903,23 EUR";"579.649,46 EUR";"580.067,58 EUR";"544.226,44 EUR";"541.036,19 EUR";"540.977,93 EUR";"542.671,98 EUR";"547.625,10 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"6.522.542,59 EUR";"6.338.521,52 EUR";"6.388.694,13 EUR";"5.913.538,61 EUR";"5.941.495,30 EUR";"5.794.010,75 EUR";"5.232.078,57 EUR";"5.230.827,12 EUR"
