;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-10364,13;-9572,43;-9045,48;-8564,41;-8011,38;-7444,44;-7363,56;-7363,56
3 + Sonstige Transfererträge;-277084,90;-126118,66;-206000,00;-155000,00;-160000,00;-160000,00;-160000,00;-160000,00
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-1384870,72;-1956895,70;-1146000,00;-35500000,00;-40200000,00;-40200000,00;-40200000,00;-40200000,00
7 + Sonstige ordentliche Erträge;;;-2000,00;0,00;0,00;0,00;0,00;0,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1672319,75;-2092586,79;-1363045,48;-35663564,41;-40368011,38;-40367444,44;-40367363,56;-40367363,56
11 - Personalaufwendungen;569973,50;616494,31;531996,12;951751,10;959955,80;966836,34;978675,52;990661,04
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;31952,49;35396,52;36861,28;32196,72;32560,32;33010,04;33459,80;33909,56
14 - Bilanzielle Abschreibungen;2025,51;3327,48;127,92;1726,18;1175,23;459,96;171,36;77,88
15 - Transferaufwendungen;12657266,22;17357746,54;22155500,00;35948619,00;46718426,00;46714553,00;46714553,00;46714553,00
16 - Sonstige ordentliche Aufwendungen;97325,56;85956,29;64055,68;79121,93;79199,48;79199,48;79199,48;79199,48
17 = Ordentliche Aufwendungen;13358543,28;18098921,14;22788541,00;37013414,93;47791316,83;47794058,82;47806059,16;47818400,96
18 = Ordentliches Ergebnis (= 10 + 17);11686223,53;16006334,35;21425495,52;1349850,52;7423305,45;7426614,38;7438695,60;7451037,40
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);11686223,53;16006334,35;21425495,52;1349850,52;7423305,45;7426614,38;7438695,60;7451037,40
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);11686223,53;16006334,35;21425495,52;1349850,52;7423305,45;7426614,38;7438695,60;7451037,40
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;100910,66;98412,85;135957,32;116757,24;116650,07;116576,55;116906,04;117637,72
29 = Teilergebnis  (= 26, 27, 28);11787134,19;16104747,20;21561452,84;1466607,76;7539955,52;7543190,93;7555601,64;7568675,12
