;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-674,21;-450,60;-2561,16;-2563,56;-2563,56;-2563,56;-2563,56;-2563,56
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-29886,79;-68657,49;-161050,00;-161050,00;-161050,00;-161050,00;-161050,00;-161050,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;-150,00;-150,00;-150,00;-150,00;-150,00;-150,00
7 + Sonstige ordentliche Erträge;;;-50,00;-50,00;-50,00;-50,00;-50,00;-50,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-30561,00;-69108,09;-163811,16;-163813,56;-163813,56;-163813,56;-163813,56;-163813,56
11 - Personalaufwendungen;90132,73;73484,19;88883,40;86539,68;86934,36;87466,44;88434,96;89416,08
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;7736,27;20522,89;9545,64;9935,04;10004,16;10075,56;10151,64;10224,24
14 - Bilanzielle Abschreibungen;246,99;56,16;14,28;17,04;17,04;17,04;17,04;17,04
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;8796,29;9136,86;9798,66;10267,37;10267,37;10267,37;10267,37;10267,37
17 = Ordentliche Aufwendungen;106912,28;103200,10;108241,98;106759,13;107222,93;107826,41;108871,01;109924,73
18 = Ordentliches Ergebnis (= 10 + 17);76351,28;34092,01;-55569,18;-57054,43;-56590,63;-55987,15;-54942,55;-53888,83
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);76351,28;34092,01;-55569,18;-57054,43;-56590,63;-55987,15;-54942,55;-53888,83
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);76351,28;34092,01;-55569,18;-57054,43;-56590,63;-55987,15;-54942,55;-53888,83
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;179022,40;177760,44;176609,90;176964,95;176920,04;176907,82;176933,39;176997,27
29 = Teilergebnis  (= 26, 27, 28);255373,68;211852,45;121040,72;119910,52;120329,41;120920,67;121990,84;123108,44
