"";"Ergebnis des Vorvorvorjahres #/2013";"Ergebnis des Vorvorjahres #/2014";"Ansatz des Vorjahres #/2015";"Planung des Haushaltsjahres #/2016";"Planung des Haushaltsjahres #/2017";"Planung des Haushaltsjahres #/2018";"Planung des Haushaltsjahres #/2019";"Planung des Haushaltsjahres #/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-860,24 EUR";"-515,69 EUR";"-201,72 EUR";"-281,12 EUR";"-153,80 EUR";"-105,25 EUR";"-51,57 EUR";"-45,05 EUR"
"3 + Sonstige Transfererträge";"-7.023.914,56 EUR";"-2.130.028,69 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR";"-1.430.000,00 EUR"
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-2.492.543,95 EUR";"-2.664.699,35 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR";"-2.700.000,00 EUR"
"7 + Sonstige ordentliche Erträge";"-1.599,44 EUR";"";"-160.000,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR";"-160.000,00 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-9.518.918,19 EUR";"-4.795.243,73 EUR";"-4.290.201,72 EUR";"-4.290.281,12 EUR";"-4.290.153,80 EUR";"-4.290.105,25 EUR";"-4.290.051,57 EUR";"-4.290.045,05 EUR"
"11 - Personalaufwendungen";"996.094,90 EUR";"992.731,15 EUR";"997.762,19 EUR";"986.424,09 EUR";"983.451,33 EUR";"987.186,11 EUR";"998.402,73 EUR";"1.009.761,01 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"536.596,57 EUR";"504.401,11 EUR";"405.092,96 EUR";"383.623,72 EUR";"383.623,60 EUR";"383.623,72 EUR";"383.623,72 EUR";"383.623,72 EUR"
"14 - Bilanzielle Abschreibungen";"3.905,43 EUR";"3.899,91 EUR";"3.553,92 EUR";"3.534,70 EUR";"3.407,52 EUR";"3.356,36 EUR";"3.275,64 EUR";"3.269,16 EUR"
"15 - Transferaufwendungen";"5.605.217,29 EUR";"5.659.950,91 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR";"5.800.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"4.838.344,77 EUR";"4.457.327,93 EUR";"74.094,76 EUR";"3.813,88 EUR";"3.813,92 EUR";"3.813,96 EUR";"3.813,96 EUR";"3.813,96 EUR"
"17 = Ordentliche Aufwendungen";"11.980.158,96 EUR";"11.618.311,01 EUR";"7.280.503,83 EUR";"7.177.396,39 EUR";"7.174.296,37 EUR";"7.177.980,15 EUR";"7.189.116,05 EUR";"7.200.467,85 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"2.461.240,77 EUR";"6.823.067,28 EUR";"2.990.302,11 EUR";"2.887.115,27 EUR";"2.884.142,57 EUR";"2.887.874,90 EUR";"2.899.064,48 EUR";"2.910.422,80 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"2.461.240,77 EUR";"6.823.067,28 EUR";"2.990.302,11 EUR";"2.887.115,27 EUR";"2.884.142,57 EUR";"2.887.874,90 EUR";"2.899.064,48 EUR";"2.910.422,80 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"2.461.240,77 EUR";"6.823.067,28 EUR";"2.990.302,11 EUR";"2.887.115,27 EUR";"2.884.142,57 EUR";"2.887.874,90 EUR";"2.899.064,48 EUR";"2.910.422,80 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR";"0,00 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"202.538,77 EUR";"194.486,46 EUR";"151.584,99 EUR";"144.737,02 EUR";"143.678,78 EUR";"143.300,83 EUR";"143.508,05 EUR";"144.263,05 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"2.663.779,54 EUR";"7.017.553,74 EUR";"3.141.887,10 EUR";"3.031.852,29 EUR";"3.027.821,35 EUR";"3.031.175,73 EUR";"3.042.572,53 EUR";"3.054.685,85 EUR"
