;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-337572,67;-325321,13;-277417,57;-2352803,30;-2355325,57;-2359314,08;-2169537,83;-2169319,86
3 + Sonstige Transfererträge;-3379459,95;-2778022,51;-2635000,00;-2450000,00;-2450000,00;-2450000,00;-2450000,00;-2450000,00
4 + Öffentlich-rechtliche Leistungsentgelte;-9099,40;-13166,50;-9500,00;-7500,00;-7500,00;-7500,00;-7500,00;-7500,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-3353414,96;-4706717,20;-2701000,00;-10905000,00;-10905000,00;-10905000,00;-10905000,00;-10905000,00
7 + Sonstige ordentliche Erträge;-88,00;-667,34;-5008,78;-5008,77;-5008,78;-5008,77;-5008,78;-5008,77
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-7079634,98;-7823894,68;-5627926,35;-15720312,07;-15722834,35;-15726822,85;-15537046,61;-15536828,63
11 - Personalaufwendungen;10628231,14;10397715,78;10136016,32;10016437,71;9941457,37;9998460,52;10131001,01;10265143,20
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;3370724,12;2638635,24;905651,64;3286104,72;3292604,60;3299104,76;3305854,76;3312854,72
14 - Bilanzielle Abschreibungen;55453,92;50815,02;41704,60;45185,13;43580,49;42517,42;41056,80;40735,94
15 - Transferaufwendungen;61490083,69;64727204,56;63435000,00;76360712,00;77849612,00;79359912,00;80646712,00;82143762,00
16 - Sonstige ordentliche Aufwendungen;1049660,78;928429,37;857452,46;888590,27;888590,47;888590,31;888590,31;888590,31
17 = Ordentliche Aufwendungen;76594153,65;78742799,97;75375825,02;90597029,83;92015844,93;93588585,01;95013214,88;96651086,17
18 = Ordentliches Ergebnis (= 10 + 17);69514518,67;70918905,29;69747898,67;74876717,76;76293010,58;77861762,16;79476168,27;81114257,54
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);69514518,67;70918905,29;69747898,67;74876717,76;76293010,58;77861762,16;79476168,27;81114257,54
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);69514518,67;70918905,29;69747898,67;74876717,76;76293010,58;77861762,16;79476168,27;81114257,54
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;1724441,60;1475611,08;1341736,61;1255011,37;1242997,85;1240530,68;1243860,89;1252537,26
29 = Teilergebnis  (= 26, 27, 28);71238960,27;72394516,37;71089635,28;76131729,13;77536008,43;79102292,84;80720029,16;82366794,80
