;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-128510,38;-60250,36;-49517,66;-78964,21;-49864,23;-49849,95;-49693,41;-49693,41
3 + Sonstige Transfererträge;;;0,00;0,00;0,00;0,00;0,00;0,00
4 + Öffentlich-rechtliche Leistungsentgelte;-172991,50;-224064,86;-169100,00;-221500,00;-221500,00;-221500,00;-221500,00;-221500,00
5 + Privatrechtliche Leistungsentgelte;-735,40;-508,33;-1000,00;-500,00;-500,00;-500,00;-500,00;-500,00
6 + Kostenerstattungen und Kostenumlagen;-95346,28;-163057,06;-80000,00;-161500,00;-161500,00;-161500,00;-161500,00;-161500,00
7 + Sonstige ordentliche Erträge;-1434,90;-684,00;-300,00;-200,00;-200,00;-200,00;-200,00;-200,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-399018,46;-448564,61;-299917,66;-462664,21;-433564,23;-433549,95;-433393,41;-433393,41
11 - Personalaufwendungen;3087481,11;2995577,15;2914519,43;2921003,92;2912091,29;2938638,70;2979064,85;3019976,46
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;294281,68;269229,80;313696,08;310943,76;313606,24;316008,32;318568,72;321129,12
14 - Bilanzielle Abschreibungen;7987,81;3185,59;627,38;1284,72;1284,70;1270,47;1113,88;1113,92
15 - Transferaufwendungen;247450,00;188850,00;177450,00;210450,00;181350,00;181350,00;181350,00;181350,00
16 - Sonstige ordentliche Aufwendungen;301457,29;299655,49;303173,09;321274,79;321726,21;321593,47;321593,47;321593,47
17 = Ordentliche Aufwendungen;3938657,89;3756498,03;3709465,98;3764957,19;3730058,44;3758860,96;3801690,92;3845162,97
18 = Ordentliches Ergebnis (= 10 + 17);3539639,43;3307933,42;3409548,32;3302292,98;3296494,21;3325311,01;3368297,51;3411769,56
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);3539639,43;3307933,42;3409548,32;3302292,98;3296494,21;3325311,01;3368297,51;3411769,56
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);3539639,43;3307933,42;3409548,32;3302292,98;3296494,21;3325311,01;3368297,51;3411769,56
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;497284,30;430582,91;422541,88;386066,34;383720,54;383112,09;384312,29;386825,31
29 = Teilergebnis  (= 26, 27, 28);4036923,73;3738516,33;3832090,20;3688359,32;3680214,75;3708423,10;3752609,80;3798594,87
