;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-25187,26;-1986,81;-95,16;-4179,84;-4108,48;-3766,10;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-517,95;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-25705,21;-1986,81;-95,16;-4179,84;-4108,48;-3766,10;;
11 - Personalaufwendungen;1601960,63;1341133,16;1269698,63;1175443,84;1106799,79;1116913,19;1132313,53;1147899,12
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;44641,53;48058,26;45729,84;75500,00;54300,00;55000,00;56000,00;57000,00
14 - Bilanzielle Abschreibungen;1317,63;3544,74;95,16;3558,41;3487,03;3196,45;;
15 - Transferaufwendungen;23470,20;;;;;;;
16 - Sonstige ordentliche Aufwendungen;62815,80;85235,81;86991,64;86083,00;86083,00;86083,00;86083,00;86083,00
17 = Ordentliche Aufwendungen;1734205,79;1477971,97;1402515,27;1340585,25;1250669,82;1261192,64;1274396,53;1290982,12
18 = Ordentliches Ergebnis (= 10 + 17);1708500,58;1475985,16;1402420,11;1336405,41;1246561,34;1257426,54;1274396,53;1290982,12
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1708500,58;1475985,16;1402420,11;1336405,41;1246561,34;1257426,54;1274396,53;1290982,12
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1708500,58;1475985,16;1402420,11;1336405,41;1246561,34;1257426,54;1274396,53;1290982,12
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;222643,44;276125,03;255660,81;342864,37;338072,93;338086,35;338557,56;339503,21
29 = Teilergebnis  (= 26, 27, 28);1931144,02;1752110,19;1658080,92;1679269,78;1584634,27;1595512,89;1612954,09;1630485,33
