;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-795,85;-208,07;-46,20;-55,56;-55,57;-55,56;-55,57;-55,57
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-1646,20;-2225,60;-2000,00;-2000,00;-2000,00;-2000,00;-2000,00;-2000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;-6500,00;0,00;0,00;0,00;0,00;0,00;0,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-2442,05;-8933,67;-2046,20;-2055,56;-2055,57;-2055,56;-2055,57;-2055,57
11 - Personalaufwendungen;261653,82;302436,56;365814,68;356168,66;357792,94;359982,60;363969,27;368006,31
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;13146,18;18033,73;13358,28;14960,64;15244,84;15539,00;15852,24;16151,04
14 - Bilanzielle Abschreibungen;717,24;231,57;58,87;70,38;70,39;70,38;70,39;70,38
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;19180,24;35678,12;72775,00;29703,97;69033,97;29704,05;69034,05;29704,05
17 = Ordentliche Aufwendungen;294697,48;356379,98;452006,83;400903,65;442142,14;405296,03;448925,95;413931,78
18 = Ordentliches Ergebnis (= 10 + 17);292255,43;347446,31;449960,63;398848,09;440086,57;403240,47;446870,38;411876,21
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);292255,43;347446,31;449960,63;398848,09;440086,57;403240,47;446870,38;411876,21
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);292255,43;347446,31;449960,63;398848,09;440086,57;403240,47;446870,38;411876,21
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;39100,41;53807,14;49521,98;49109,10;48941,36;48902,24;49011,94;49272,35
29 = Teilergebnis  (= 26, 27, 28);331355,84;401253,45;499482,61;447957,19;489027,93;452142,71;495882,32;461148,56
