;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-443211,03;-480992,97;-85864,44;-486224,99;-485298,26;-1105446,87;-1654927,81;-465958,48
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-8272,68;-6230,34;-5150,00;-5150,00;-5150,00;-5150,00;-5150,00;-5150,00
5 + Privatrechtliche Leistungsentgelte;-392915,77;-388697,84;-383650,00;-383650,00;-383650,00;-383650,00;-383650,00;-383650,00
6 + Kostenerstattungen und Kostenumlagen;-194396,62;-1579320,25;-1074750,00;-1074750,00;-1074750,00;-1074750,00;-1074750,00;-1074750,00
7 + Sonstige ordentliche Erträge;-24886,40;-11979,64;-550,00;-550,00;-550,00;-550,00;-550,00;-550,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1063682,50;-2467221,04;-1549964,44;-1950324,99;-1949398,26;-2569546,87;-3119027,81;-1930058,48
11 - Personalaufwendungen;6374599,45;6082156,75;6708317,52;6570186,52;6499205,70;6556546,61;6648713,91;6741973,00
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;2763484,93;2883765,63;3081182,05;3035807,31;3044677,19;3674491,71;4234385,39;3059358,03
14 - Bilanzielle Abschreibungen;307104,85;333519,35;150660,48;303378,66;296378,31;285699,68;261643,07;242485,63
15 - Transferaufwendungen;18,50;16,65;;;;;;
16 - Sonstige ordentliche Aufwendungen;446688,73;422774,83;447910,31;414908,03;409031,33;409031,25;409031,25;409031,25
17 = Ordentliche Aufwendungen;9891896,46;9722233,21;10388070,36;10324280,52;10249292,53;10925769,25;11553773,62;10452847,91
18 = Ordentliches Ergebnis (= 10 + 17);8828213,96;7255012,17;8838105,92;8373955,53;8299894,27;8356222,38;8434745,81;8522789,43
19 + Finanzerträge;;-16,65;-37,53;-37,51;-37,51;-37,51;-37,51;-37,51
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;-16,65;-37,53;-37,51;-37,51;-37,51;-37,51;-37,51
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);8828213,96;7254995,52;8838068,39;8373918,02;8299856,76;8356184,87;8434708,30;8522751,92
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);8828213,96;7254995,52;8838068,39;8373918,02;8299856,76;8356184,87;8434708,30;8522751,92
27 + Erträge aus internen Leistungsbeziehungen;-319324,17;-491377,09;-490003,92;-490003,92;-490003,92;-490003,92;-490003,92;-490003,92
28 - Aufwendungen aus internen Leistungsbeziehungen;875010,09;787184,85;764442,70;708801,04;698761,07;724883,35;751039,87;706049,65
29 = Teilergebnis  (= 26, 27, 28);9383899,88;7550803,28;9112507,17;8592715,14;8508613,91;8591064,30;8695744,25;8738797,65
