;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-299932,29;-40537,51;-10228,08;-11078,49;-91084,02;-75068,22;-91025,06;-27021,23
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-22133,50;-32872,10;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00;-20000,00
5 + Privatrechtliche Leistungsentgelte;;;-100,00;-100,00;-100,00;-100,00;-100,00;-100,00
6 + Kostenerstattungen und Kostenumlagen;;;0,00;0,00;0,00;0,00;0,00;0,00
7 + Sonstige ordentliche Erträge;-40000,00;-517277,30;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-362065,79;-590686,91;-30328,08;-31178,49;-111184,02;-95168,22;-111125,06;-47121,23
11 - Personalaufwendungen;644027,72;623240,54;586982,33;534735,08;544678,01;549412,95;556626,77;563928,01
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;96948,42;53869,67;145219,48;143091,00;243374,44;223582,48;243790,44;164015,72
14 - Bilanzielle Abschreibungen;623,95;1464,25;291,36;1132,50;1138,15;1041,42;947,25;821,25
15 - Transferaufwendungen;4470,92;101848,67;0,00;0,00;;;;
16 - Sonstige ordentliche Aufwendungen;22531,89;170270,21;44542,28;44753,80;44958,28;44958,24;44958,24;44958,24
17 = Ordentliche Aufwendungen;768602,90;950693,34;777035,45;723712,38;834148,88;818995,09;846322,70;773723,22
18 = Ordentliches Ergebnis (= 10 + 17);406537,11;360006,43;746707,37;692533,89;722964,86;723826,87;735197,64;726601,99
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;4242,47;75001,32;15100,00;15100,00;15100,00;15100,00;15100,00;15100,00
21 = Finanzergebnis (= 19 + 20);4242,47;75001,32;15100,00;15100,00;15100,00;15100,00;15100,00;15100,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);410779,58;435007,75;761807,37;707633,89;738064,86;738926,87;750297,64;741701,99
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);410779,58;435007,75;761807,37;707633,89;738064,86;738926,87;750297,64;741701,99
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;233458,62;99814,35;84116,19;67561,69;72736,16;71769,34;72799,45;69799,06
29 = Teilergebnis  (= 26, 27, 28);644238,20;534822,10;845923,56;775195,58;810801,02;810696,21;823097,09;811501,05
