;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;;;;;
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;87383,37;136126,74;109150,00;98300,00;98500,00;98800,00;99100,00;99400,00
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;738000,00;738000,00;738000,00;738000,00;738000,00;738000,00;738000,00;738000,00
16 - Sonstige ordentliche Aufwendungen;52261,98;52247,68;61600,00;54000,00;54000,00;54000,00;54000,00;54000,00
17 = Ordentliche Aufwendungen;877645,35;926374,42;908750,00;890300,00;890500,00;890800,00;891100,00;891400,00
18 = Ordentliches Ergebnis (= 10 + 17);877645,35;926374,42;908750,00;890300,00;890500,00;890800,00;891100,00;891400,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);877645,35;926374,42;908750,00;890300,00;890500,00;890800,00;891100,00;891400,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);877645,35;926374,42;908750,00;890300,00;890500,00;890800,00;891100,00;891400,00
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
28 - Aufwendungen aus internen Leistungsbeziehungen;4178,30;6778,45;5565,92;4381,91;4324,14;4298,34;4290,79;4322,87
29 = Teilergebnis  (= 26, 27, 28);881823,65;933152,87;914315,92;894681,91;894824,14;895098,34;895390,79;895722,87
