;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-206111,53;-213245,44;-242900,00;0,00;0,00;0,00;0,00;0,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-206111,53;-213245,44;-242900,00;0,00;0,00;0,00;0,00;0,00
11 - Personalaufwendungen;416961,63;333277,10;227450,16;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;26277,09;8484,64;13587,80;0,00;0,00;0,00;0,00;0,00
14 - Bilanzielle Abschreibungen;248,00;58,71;;;;;;
15 - Transferaufwendungen;22320,00;47250,00;24900,00;0,00;0,00;0,00;0,00;0,00
16 - Sonstige ordentliche Aufwendungen;15335,65;16180,74;66308,04;0,00;0,00;0,00;0,00;0,00
17 = Ordentliche Aufwendungen;481142,37;405251,19;332246,00;0,00;0,00;0,00;0,00;0,00
18 = Ordentliches Ergebnis (= 10 + 17);275030,84;192005,75;89346,00;0,00;0,00;0,00;0,00;0,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);275030,84;192005,75;89346,00;0,00;0,00;0,00;0,00;0,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);275030,84;192005,75;89346,00;0,00;0,00;0,00;0,00;0,00
27 + Erträge aus internen Leistungsbeziehungen;0,00;0,00;0,00;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;46507,40;26755,19;45899,88;;;;;
29 = Teilergebnis  (= 26, 27, 28);321538,24;218760,94;135245,88;0,00;0,00;0,00;0,00;0,00
