;Ergebnis des Vorvorvorjahres #/2013;Ergebnis des Vorvorjahres #/2014;Ansatz des Vorjahres #/2015;Planung des Haushaltsjahres #/2016;Planung des Haushaltsjahres #/2017;Planung des Haushaltsjahres #/2018;Planung des Haushaltsjahres #/2019;Planung des Haushaltsjahres #/2020
1 + Steuern und ähnliche Abgaben;-446990249,96;-414347691,81;-453197000,00;-470272000,00;-488817000,00;-503376000,00;-517675000,00;-525595000,00
2 + Zuwendungen und allgemeine Umlagen;-266849656,93;-284543255,55;-310461700,00;-307811700,00;-321411700,00;-316500000,00;-314000000,00;-310400000,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-19149016,89;-5636042,82;-3000000,00;-3000000,00;-3000000,00;-3000000,00;-3000000,00;-3000000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-732988923,78;-704526990,18;-766658700,00;-781083700,00;-813228700,00;-822876000,00;-834675000,00;-838995000,00
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;0,00;;;;;;
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;119960711,07;120513391,45;127155000,00;132140000,00;138200000,00;143250000,00;148550000,00;138650000,00
16 - Sonstige ordentliche Aufwendungen;17037843,02;1540801,06;;;;;;
17 = Ordentliche Aufwendungen;136998554,09;122054192,51;127155000,00;132140000,00;138200000,00;143250000,00;148550000,00;138650000,00
18 = Ordentliches Ergebnis (= 10 + 17);-595990369,69;-582472797,67;-639503700,00;-648943700,00;-675028700,00;-679626000,00;-686125000,00;-700345000,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;2311538,00;2375877,00;2000000,00;2000000,00;2000000,00;2000000,00;2000000,00;2000000,00
21 = Finanzergebnis (= 19 + 20);2311538,00;2375877,00;2000000,00;2000000,00;2000000,00;2000000,00;2000000,00;2000000,00
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);-593678831,69;-580096920,67;-637503700,00;-646943700,00;-673028700,00;-677626000,00;-684125000,00;-698345000,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);-593678831,69;-580096920,67;-637503700,00;-646943700,00;-673028700,00;-677626000,00;-684125000,00;-698345000,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);-593678831,69;-580096920,67;-637503700,00;-646943700,00;-673028700,00;-677626000,00;-684125000,00;-698345000,00
