;"Ergebnis des Vorvorvorjahres K4/2013";"Ergebnis des Vorvorjahres K4/2014";"Ansatz des Vorjahres K4/2015";"Planung des Haushaltsjahres K4/2016";"Planung des Haushaltsjahres K4/2017";"Planung des Haushaltsjahres K4/2018";"Planung des Haushaltsjahres K4/2019";"Planung des Haushaltsjahres K4/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-368,45 EUR";"-8.037,64 EUR";"-54,06 EUR";"-192,04 EUR";"-192,03 EUR";"-192,04 EUR";"-192,03 EUR";"-192,04 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"";"-80,00 EUR";"";"";"";"";"";""
"6 + Kostenerstattungen und Kostenumlagen";"-9.250,20 EUR";"-28.767,36 EUR";"-7.885,65 EUR";"-20.694,18 EUR";"-20.612,87 EUR";"-20.469,71 EUR";"-20.529,83 EUR";"-20.508,74 EUR"
"7 + Sonstige ordentliche Erträge";"";"";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-9.618,65 EUR";"-36.885,00 EUR";"-7.939,71 EUR";"-20.886,22 EUR";"-20.804,90 EUR";"-20.661,75 EUR";"-20.721,86 EUR";"-20.700,78 EUR"
"11 - Personalaufwendungen";"501.596,29 EUR";"1.083.044,80 EUR";"192.462,62 EUR";"694.692,45 EUR";"691.427,56 EUR";"695.221,42 EUR";"703.458,24 EUR";"711.797,25 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"23.491,94 EUR";"32.989,98 EUR";"25.100,00 EUR";"36.496,00 EUR";"36.954,00 EUR";"33.821,00 EUR";"34.298,00 EUR";"34.784,00 EUR"
"14 - Bilanzielle Abschreibungen";"85,45 EUR";"8.073,64 EUR";"96,99 EUR";"228,04 EUR";"228,03 EUR";"228,04 EUR";"228,03 EUR";"228,04 EUR"
"15 - Transferaufwendungen";"";"";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"31.795,18 EUR";"46.775,31 EUR";"23.050,00 EUR";"43.805,00 EUR";"43.805,00 EUR";"39.605,00 EUR";"39.605,00 EUR";"39.605,00 EUR"
"17 = Ordentliche Aufwendungen";"556.968,86 EUR";"1.170.883,73 EUR";"240.709,61 EUR";"775.221,49 EUR";"772.414,59 EUR";"768.875,46 EUR";"777.589,27 EUR";"786.414,29 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"547.350,21 EUR";"1.133.998,73 EUR";"232.769,90 EUR";"754.335,27 EUR";"751.609,69 EUR";"748.213,71 EUR";"756.867,41 EUR";"765.713,51 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"547.350,21 EUR";"1.133.998,73 EUR";"232.769,90 EUR";"754.335,27 EUR";"751.609,69 EUR";"748.213,71 EUR";"756.867,41 EUR";"765.713,51 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"547.350,21 EUR";"1.133.998,73 EUR";"232.769,90 EUR";"754.335,27 EUR";"751.609,69 EUR";"748.213,71 EUR";"756.867,41 EUR";"765.713,51 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-540.501,78 EUR";"-1.147.432,29 EUR";"-249.766,03 EUR";"-756.376,47 EUR";"-753.854,89 EUR";"-750.713,84 EUR";"-758.718,50 EUR";"-766.900,89 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"37.039,01 EUR";"77.700,72 EUR";"37.247,42 EUR";"63.368,80 EUR";"63.368,80 EUR";"63.368,80 EUR";"63.368,80 EUR";"63.368,80 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"43.887,44 EUR";"64.267,16 EUR";"20.251,29 EUR";"61.327,60 EUR";"61.123,60 EUR";"60.868,67 EUR";"61.517,71 EUR";"62.181,42 EUR"
