;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-926,81;-630,06;-26,16;-119,09;-119,10;-119,09;-119,10;-119,09
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-8440,44;-12702,48;-12144,85;-10629,68;-10671,77;-10717,89;-10749,25;-10734,76
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-9367,25;-13332,54;-12171,01;-10748,77;-10790,87;-10836,98;-10868,35;-10853,85
11 - Personalaufwendungen;410202,66;417519,11;301103,85;294665,17;296302,37;299037,36;303201,71;307415,42
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;14884,01;21106,07;22550,00;22629,96;22949,96;23270,00;23669,96;23990,00
14 - Bilanzielle Abschreibungen;1582,76;626,35;88,68;181,62;181,62;181,62;176,41;119,09
15 - Transferaufwendungen;2500,00;2500,00;2500,00;2500,00;2500,00;2500,00;2500,00;2500,00
16 - Sonstige ordentliche Aufwendungen;28367,57;29659,07;36400,08;36016,04;36015,92;36016,04;36016,04;36016,04
17 = Ordentliche Aufwendungen;457537,00;471410,60;362642,61;355992,79;357949,87;361005,02;365564,12;370040,55
18 = Ordentliches Ergebnis (= 10 + 17);448169,75;458078,06;350471,60;345244,02;347159,00;350168,04;354695,77;359186,70
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);448169,75;458078,06;350471,60;345244,02;347159,00;350168,04;354695,77;359186,70
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);448169,75;458078,06;350471,60;345244,02;347159,00;350168,04;354695,77;359186,70
27 + Erträge aus internen Leistungsbeziehungen;-485019,12;-506658,73;-384623,15;-388572,70;-390343,92;-393127,45;-397315,53;-401469,69
28 - Aufwendungen aus internen Leistungsbeziehungen;76245,09;76958,48;65337,19;74834,40;74834,40;74834,40;74834,40;74834,40
29 = Teilergebnis  (= 26, 27, 28);39395,72;28377,81;31185,64;31505,72;31649,48;31874,99;32214,64;32551,41
