;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-2964,17;-2321,53;-2333,52;-169,35;-124,24;-33,99;-34,00;-33,99
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-15071,92;-17684,65;-66815,12;-57444,05;-57326,01;-57275,13;-57297,85;-57256,51
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-18036,09;-20006,18;-69148,64;-57613,40;-57450,25;-57309,12;-57331,85;-57290,50
11 - Personalaufwendungen;839734,36;649319,15;805137,16;607992,58;603355,90;602862,74;608479,16;614170,89
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;10528,38;9871,78;14169,60;12391,44;12632,04;12864,12;13147,92;13440,12
14 - Bilanzielle Abschreibungen;2857,49;2520,97;2340,72;171,51;126,40;36,15;36,16;36,15
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;13760,23;19216,13;19167,60;15501,72;15501,68;15501,68;15501,68;15501,68
17 = Ordentliche Aufwendungen;866880,46;680928,03;840815,08;636057,25;631616,02;631264,69;637164,92;643148,84
18 = Ordentliches Ergebnis (= 10 + 17);848844,37;660921,85;771666,44;578443,85;574165,77;573955,57;579833,07;585858,34
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);848844,37;660921,85;771666,44;578443,85;574165,77;573955,57;579833,07;585858,34
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);848844,37;660921,85;771666,44;578443,85;574165,77;573955,57;579833,07;585858,34
27 + Erträge aus internen Leistungsbeziehungen;-880705,11;-705380,57;-818080,87;-601059,09;-597101,79;-596907,32;-602344,05;-607917,43
28 - Aufwendungen aus internen Leistungsbeziehungen;103402,37;83966,92;112745,20;71349,87;71349,87;71349,87;71349,87;71349,87
29 = Teilergebnis  (= 26, 27, 28);71541,63;39508,20;66330,77;48734,63;48413,85;48398,12;48838,89;49290,78
