;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-10983,27;-8260,27;-5431,66;-702,92;-232,08;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-670516,49;-686609,87;-330000,00;-425000,00;-425000,00;-425000,00;-425000,00;-425000,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-681499,76;-694870,14;-335431,66;-425702,92;-425232,08;-425000,00;-425000,00;-425000,00
11 - Personalaufwendungen;1312683,08;1179146,13;1276991,88;1301974,26;1302575,94;1307430,26;1322007,43;1336770,19
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;27640,08;20832,43;27838,08;22826,76;23256,72;23671,44;24178,44;24700,72
14 - Bilanzielle Abschreibungen;10717,31;8990,74;5493,36;755,21;284,36;52,29;52,28;52,29
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;36172,95;42737,95;37900,52;30223,04;30223,00;30223,08;30223,08;30223,08
17 = Ordentliche Aufwendungen;1387213,42;1251707,25;1348223,84;1355779,27;1356340,02;1361377,07;1376461,23;1391746,28
18 = Ordentliches Ergebnis (= 10 + 17);705713,66;556837,11;1012792,18;930076,35;931107,94;936377,07;951461,23;966746,28
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);705713,66;556837,11;1012792,18;930076,35;931107,94;936377,07;951461,23;966746,28
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);705713,66;556837,11;1012792,18;930076,35;931107,94;936377,07;951461,23;966746,28
27 + Erträge aus internen Leistungsbeziehungen;-1857954,58;-1251900,00;-1251900,00;-1199220,00;-1199220,00;-1199220,00;-1199220,00;-1199220,00
28 - Aufwendungen aus internen Leistungsbeziehungen;299979,46;291576,44;257341,71;200767,50;199915,88;199621,04;200003,83;200922,77
29 = Teilergebnis  (= 26, 27, 28);-852261,46;-403486,45;18233,89;-68376,15;-68196,18;-63221,89;-47754,94;-31550,95
