;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1961,84;-191,82;-30,36;-78,47;-78,47;-78,47;-78,48;-78,44
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-5000,00;-5000,00;-500,00;-500,00;-500,00;-500,00;-500,00;-500,00
6 + Kostenerstattungen und Kostenumlagen;-96708,32;-210977,80;-65433,41;-60745,30;-60854,63;-60967,80;-61031,98;-60972,98
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-103670,16;-216169,62;-65963,77;-61323,77;-61433,10;-61546,27;-61610,46;-61551,42
11 - Personalaufwendungen;1008853,64;917130,46;1096373,66;1099789,99;1104651,47;1112331,83;1124063,96;1135947,96
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;19971,39;18481,03;22414,00;20769,84;21069,20;21397,60;21754,88;22083,28
14 - Bilanzielle Abschreibungen;974,00;364,90;38,04;86,16;86,16;86,16;86,16;86,16
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;25280,33;23263,97;26307,52;25698,72;25698,84;25698,80;25698,80;25698,80
17 = Ordentliche Aufwendungen;1055079,36;959240,36;1145133,22;1146344,71;1151505,67;1159514,39;1171603,80;1183816,20
18 = Ordentliches Ergebnis (= 10 + 17);951409,20;743070,74;1079169,45;1085020,94;1090072,57;1097968,12;1109993,34;1122264,78
19 + Finanzerträge;;-138,00;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;12696,00;145,00;;;;;;
21 = Finanzergebnis (= 19 + 20);12696,00;7,00;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);964105,20;743077,74;1079169,45;1085020,94;1090072,57;1097968,12;1109993,34;1122264,78
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);964105,20;743077,74;1079169,45;1085020,94;1090072,57;1097968,12;1109993,34;1122264,78
27 + Erträge aus internen Leistungsbeziehungen;-975432,15;-831747,30;-1122865,32;-1123720,30;-1128393,26;-1135696,56;-1146819,95;-1158170,76
28 - Aufwendungen aus internen Leistungsbeziehungen;91510,80;135255,57;134738,57;129811,76;129811,76;129811,76;129811,76;129811,76
29 = Teilergebnis  (= 26, 27, 28);80183,85;46586,01;91042,70;91112,40;91491,07;92083,32;92985,15;93905,78
