;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-1410,00;-349,00;-202,00;-51,00;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-1410,00;-349,00;-202,00;-51,00;
11 - Personalaufwendungen;;;;219268,76;223020,00;224515,84;226803,60;229120,20
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;12550,00;12550,00;12550,00;12550,00;12550,00
14 - Bilanzielle Abschreibungen;;;;1410,00;349,00;202,00;51,00;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;;;4200,00;4200,00;4200,00;4200,00;4200,00
17 = Ordentliche Aufwendungen;;;;237428,76;240119,00;241467,84;243604,60;245870,20
18 = Ordentliches Ergebnis (= 10 + 17);;;;236018,76;239770,00;241265,84;243553,60;245870,20
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;236018,76;239770,00;241265,84;243553,60;245870,20
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;236018,76;239770,00;241265,84;243553,60;245870,20
27 + Erträge aus internen Leistungsbeziehungen;;;;-218317,40;-221787,12;-223170,76;-225286,96;-227429,96
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);;;;17701,36;17982,88;18095,08;18266,64;18440,24
