;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-148565,26;-123634,33;-97847,13;-67458,27;-52988,07
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;-5000,00;-5000,00;-5000,00;-5000,00;-5000,00
6 + Kostenerstattungen und Kostenumlagen;;;;-749000,00;-749000,00;-749000,00;-749000,00;-749000,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-902565,26;-877634,33;-851847,13;-821458,27;-806988,07
11 - Personalaufwendungen;;;;965163,49;947860,27;956596,84;969899,63;983360,92
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;302199,60;302517,60;302860,00;303239,20;303606,16
14 - Bilanzielle Abschreibungen;;;;352779,60;312688,67;277767,17;241756,44;221533,44
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;;;96184,72;96184,68;88387,92;88387,92;88387,92
17 = Ordentliche Aufwendungen;;;;1716327,41;1659251,22;1625611,93;1603283,19;1596888,44
18 = Ordentliches Ergebnis (= 10 + 17);;;;813762,15;781616,89;773764,80;781824,92;789900,37
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;813762,15;781616,89;773764,80;781824,92;789900,37
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;813762,15;781616,89;773764,80;781824,92;789900,37
27 + Erträge aus internen Leistungsbeziehungen;;;;-828180,00;-828180,00;-828180,00;-828180,00;-828180,00
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;77461,47;75852,28;75753,43;76090,06;76931,78
29 = Teilergebnis  (= 26, 27, 28);;;;63043,62;29289,17;21338,23;29734,98;38652,15
