;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-179,40;-67,68;-50,52;-50,52;-50,52
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;-510000,00;-510000,00;-510000,00;-510000,00;-510000,00
6 + Kostenerstattungen und Kostenumlagen;;;;-87800,00;-87800,00;-87800,00;-87800,00;-87800,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-597979,40;-597867,68;-597850,52;-597850,52;-597850,52
11 - Personalaufwendungen;;;;571326,36;574892,97;580147,75;588149,05;596246,51
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;92692,24;93033,04;93399,96;93806,16;94199,32
14 - Bilanzielle Abschreibungen;;;;9358,08;72,60;55,44;55,44;55,44
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;;;56967,28;56967,28;56649,28;56649,28;56649,28
17 = Ordentliche Aufwendungen;;;;730343,96;724965,89;730252,43;738659,93;747150,55
18 = Ordentliches Ergebnis (= 10 + 17);;;;132364,56;127098,21;132401,91;140809,41;149300,03
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;132364,56;127098,21;132401,91;140809,41;149300,03
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;132364,56;127098,21;132401,91;140809,41;149300,03
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;51774,76;51497,60;51478,03;51705,20;52203,34
29 = Teilergebnis  (= 26, 27, 28);;;;184139,32;178595,81;183879,94;192514,61;201503,37
