;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-34303,43;-28646,80;-23514,85;-12117,26;-4786,48
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-269527,00;-269527,00;-269527,00;-269527,00;-269527,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-303830,43;-298173,80;-293041,85;-281644,26;-274313,48
11 - Personalaufwendungen;;;;1245726,97;1251556,30;1261717,92;1278939,32;1296367,38
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;385538,00;388660,80;391869,96;392433,48;392978,92
14 - Bilanzielle Abschreibungen;;;;56063,09;41235,44;36062,68;12505,52;4805,15
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;;;544868,96;544868,92;544678,12;544678,12;544678,12
17 = Ordentliche Aufwendungen;;;;2232197,02;2226321,46;2234328,68;2228556,44;2238829,57
18 = Ordentliches Ergebnis (= 10 + 17);;;;1928366,59;1928147,66;1941286,83;1946912,18;1964516,09
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;1928366,59;1928147,66;1941286,83;1946912,18;1964516,09
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;1928366,59;1928147,66;1941286,83;1946912,18;1964516,09
27 + Erträge aus internen Leistungsbeziehungen;;;;-781632,00;-781632,00;-781632,00;-781632,00;-781632,00
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;86391,26;85683,34;85616,86;86050,83;87148,28
29 = Teilergebnis  (= 26, 27, 28);;;;1233125,85;1232199,00;1245271,69;1251331,01;1270032,37
