;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-330098,49;-235717,55;-89768,63;-14477,09;-4271,04
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;-699300,00;-699300,00;-699300,00;-699300,00;-699300,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-1029398,49;-935017,55;-789068,63;-713777,09;-703571,04
11 - Personalaufwendungen;;;;1657539,83;1652180,60;1667193,08;1690055,50;1713192,12
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;307803,52;308287,96;308809,80;309387,52;309946,52
14 - Bilanzielle Abschreibungen;;;;349259,98;245522,81;100447,93;24618,46;4998,42
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;;;252923,28;252923,28;242510,48;242510,48;242510,48
17 = Ordentliche Aufwendungen;;;;2567526,61;2458914,65;2318961,29;2266571,96;2270647,54
18 = Ordentliches Ergebnis (= 10 + 17);;;;1538128,12;1523897,10;1529892,66;1552794,87;1567076,50
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;1538128,12;1523897,10;1529892,66;1552794,87;1567076,50
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;1538128,12;1523897,10;1529892,66;1552794,87;1567076,50
27 + Erträge aus internen Leistungsbeziehungen;;;;-1615764,00;-1615764,00;-1615764,00;-1615764,00;-1615764,00
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;116899,04;115359,31;115260,47;115873,81;117282,26
29 = Teilergebnis  (= 26, 27, 28);;;;39263,16;23492,41;29389,13;52904,68;68594,76
