;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-8521,15;-8016,59;-1041,00;-4809,01;-4052,67;-1805,59;-351,28;-226,97
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-427721,14;-501776,45;-450000,00;-450000,00;-450000,00;-450000,00;-450000,00;-450000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;-264684,80;-263734,50;-402000,00;-402000,00;-402000,00;-402000,00;-402000,00;-402000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-700927,09;-773527,54;-853041,00;-856809,01;-856052,67;-853805,59;-852351,28;-852226,97
11 - Personalaufwendungen;1905543,37;1596212,11;1996677,99;1888899,23;1879991,37;1892704,59;1917897,52;1943395,28
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;311878,71;515163,58;472939,83;483767,21;484221,29;484707,25;485206,29;485705,37
14 - Bilanzielle Abschreibungen;8712,63;9438,61;1860,56;5785,21;5019,09;2749,02;1001,85;604,80
15 - Transferaufwendungen;226349,47;;;;;;;
16 - Sonstige ordentliche Aufwendungen;140500,45;60954,44;43101,24;54244,92;53725,24;53725,20;53725,20;53725,20
17 = Ordentliche Aufwendungen;2592984,63;2181768,74;2514579,62;2432696,57;2422956,99;2433886,06;2457830,86;2483430,65
18 = Ordentliches Ergebnis (= 10 + 17);1892057,54;1408241,20;1661538,62;1575887,56;1566904,32;1580080,47;1605479,58;1631203,68
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1892057,54;1408241,20;1661538,62;1575887,56;1566904,32;1580080,47;1605479,58;1631203,68
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1892057,54;1408241,20;1661538,62;1575887,56;1566904,32;1580080,47;1605479,58;1631203,68
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;333683,81;276722,39;318754,93;395079,71;354200,69;353996,82;354328,20;355067,17
29 = Teilergebnis  (= 26, 27, 28);2225741,35;1684963,59;1980293,55;1970967,27;1921105,01;1934077,29;1959807,78;1986270,85
