;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-1148,94;-269,77;-9,48;;;;;
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-1148,94;-269,77;-9,48;;;;;
11 - Personalaufwendungen;160183,13;139863,05;134721,48;81389,36;84084,20;84832,24;85971,20;87124,40
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1914,62;2174,85;5194,00;2494,96;2535,04;2575,00;2575,00;22575,00
14 - Bilanzielle Abschreibungen;1097,57;444,96;9,48;;;;;
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;2671,16;2453,34;8171,68;2599,92;2599,92;2599,92;2599,92;2599,92
17 = Ordentliche Aufwendungen;165866,48;144936,20;148096,64;86484,24;89219,16;90007,16;91146,12;112299,32
18 = Ordentliches Ergebnis (= 10 + 17);164717,54;144666,43;148087,16;86484,24;89219,16;90007,16;91146,12;112299,32
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);164717,54;144666,43;148087,16;86484,24;89219,16;90007,16;91146,12;112299,32
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);164717,54;144666,43;148087,16;86484,24;89219,16;90007,16;91146,12;112299,32
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;24038,66;29822,72;28294,84;4840,97;4904,66;4904,44;4936,26;5872,98
29 = Teilergebnis  (= 26, 27, 28);188756,20;174489,15;176382,00;91325,21;94123,82;94911,60;96082,38;118172,30
