;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-9381,66;-8960,30;-5884,41;-6632,27;-5649,54;-5019,23;-4186,44;-3702,48
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-47327,40;-10565,40;-31600,00;-31600,00;-31600,00;-31600,00;-31600,00;-31600,00
5 + Privatrechtliche Leistungsentgelte;-35866,60;-21202,60;-22500,00;-22500,00;-22500,00;-22500,00;-22500,00;-22500,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;-4580,00;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-92575,66;-45308,30;-59984,41;-60732,27;-59749,54;-59119,23;-58286,44;-57802,48
11 - Personalaufwendungen;913430,32;728073,62;889545,32;781548,08;795210,43;799822,79;806886,95;814046,47
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;65705,71;65565,51;69409,04;65707,12;66690,32;67666,44;68642,52;69618,60
14 - Bilanzielle Abschreibungen;22941,56;21022,72;15464,88;19373,17;17211,62;15633,78;14133,96;12916,05
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;145204,12;147778,49;145782,68;150541,47;150620,24;150620,32;150620,32;150620,32
17 = Ordentliche Aufwendungen;1147281,71;962440,34;1120201,92;1017169,84;1029732,61;1033743,33;1040283,75;1047201,44
18 = Ordentliches Ergebnis (= 10 + 17);1054706,05;917132,04;1060217,51;956437,57;969983,07;974624,10;981997,31;989398,96
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);1054706,05;917132,04;1060217,51;956437,57;969983,07;974624,10;981997,31;989398,96
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);1054706,05;917132,04;1060217,51;956437,57;969983,07;974624,10;981997,31;989398,96
27 + Erträge aus internen Leistungsbeziehungen;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00;-150000,00
28 - Aufwendungen aus internen Leistungsbeziehungen;154876,06;162164,55;129609,24;122435,54;122630,76;122533,38;122704,53;123224,49
29 = Teilergebnis  (= 26, 27, 28);1059582,11;929296,59;1039826,75;928873,11;942613,83;947157,48;954701,84;962623,45
