;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-21268,36;-19288,88;-8643,16;-6458,68;-5510,80
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;-3180000,00;-3180000,00;-3180000,00;-3180000,00;-3180000,00
5 + Privatrechtliche Leistungsentgelte;;;;-90000,00;-90000,00;-90000,00;-90000,00;-90000,00
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;-35000,00;-35000,00;-35000,00;-35000,00;-35000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-3326268,36;-3324288,88;-3313643,16;-3311458,68;-3310510,80
11 - Personalaufwendungen;;;;1964918,73;1974405,78;1985897,25;2010874,43;2036160,12
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;362563,96;363659,12;364754,28;365879,12;367003,96
14 - Bilanzielle Abschreibungen;;;;22431,76;19927,60;8911,96;6727,36;5780,12
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;;;165741,44;165741,44;165741,44;165741,44;165741,44
17 = Ordentliche Aufwendungen;;;;2515655,89;2523733,94;2525304,93;2549222,35;2574685,64
18 = Ordentliches Ergebnis (= 10 + 17);;;;-810612,47;-800554,94;-788338,23;-762236,33;-735825,16
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;-810612,47;-800554,94;-788338,23;-762236,33;-735825,16
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;-810612,47;-800554,94;-788338,23;-762236,33;-735825,16
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;103751,55;102640,33;102263,72;102916,44;104513,97
29 = Teilergebnis  (= 26, 27, 28);;;;-706860,92;-697914,61;-686074,51;-659319,89;-631311,19
