;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;;;;-7472,64;-6777,12;-3036,84;-2269,32;-1936,20
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;-682500,00;-682500,00;-682500,00;-682500,00;-682500,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;-6000,00;-6000,00;-6000,00;-6000,00;-6000,00
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;;;;-695972,64;-695277,12;-691536,84;-690769,32;-690436,20
11 - Personalaufwendungen;;;;690376,84;693710,23;697747,48;706523,20;715407,44
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;;;;148171,04;148555,88;148940,72;149335,88;149731,04
14 - Bilanzielle Abschreibungen;;;;7881,24;7001,40;3131,04;2363,64;2030,88
15 - Transferaufwendungen;;;;;;;;
16 - Sonstige ordentliche Aufwendungen;;;;58233,56;58233,56;58233,56;58233,56;58233,56
17 = Ordentliche Aufwendungen;;;;904662,68;907501,07;908052,80;916456,28;925402,92
18 = Ordentliches Ergebnis (= 10 + 17);;;;208690,04;212223,95;216515,96;225686,96;234966,72
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);;;;208690,04;212223,95;216515,96;225686,96;234966,72
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);;;;208690,04;212223,95;216515,96;225686,96;234966,72
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;37379,62;36975,22;36834,67;37059,71;37625,06
29 = Teilergebnis  (= 26, 27, 28);;;;246069,66;249199,17;253350,63;262746,67;272591,78
