;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-261951,53;-191921,81;-75854,60;-109232,89;-88182,34;-59267,74;-31232,60;-24214,32
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-265658,09;-245597,26;-210279,48;-269314,92;-269314,92;-269314,92;-269314,92;-269314,92
6 + Kostenerstattungen und Kostenumlagen;129,80;-1150,01;;;;;;
7 + Sonstige ordentliche Erträge;-308,61;-238,40;-117,51;-118,10;-118,11;-118,10;-118,10;-113,78
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-527788,43;-438907,48;-286251,59;-378665,91;-357615,37;-328700,76;-300665,62;-293643,02
11 - Personalaufwendungen;330595,72;324115,06;413149,60;376054,16;377902,72;381468,13;386895,62;392387,84
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1812643,06;1987194,73;1691391,92;2150030,52;2186354,40;2222748,24;2262781,56;2299175,48
14 - Bilanzielle Abschreibungen;266834,49;256211,77;164541,39;193808,09;167005,49;137147,10;103682,12;82837,43
15 - Transferaufwendungen;49519,69;38658,69;20000,00;20000,00;20000,00;20000,00;20000,00;20000,00
16 - Sonstige ordentliche Aufwendungen;2583544,08;2624972,36;2197621,52;2919656,68;2926935,52;2934214,24;2941493,08;2948771,80
17 = Ordentliche Aufwendungen;5043137,04;5231152,61;4486704,43;5659549,45;5678198,13;5695577,71;5714852,38;5743172,55
18 = Ordentliches Ergebnis (= 10 + 17);4515348,61;4792245,13;4200452,84;5280883,54;5320582,76;5366876,95;5414186,76;5449529,53
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);4515348,61;4792245,13;4200452,84;5280883,54;5320582,76;5366876,95;5414186,76;5449529,53
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);4515348,61;4792245,13;4200452,84;5280883,54;5320582,76;5366876,95;5414186,76;5449529,53
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;333483,03;312800,00;294499,18;278350,69;278316,39;279041,03;280480,64;282802,76
29 = Teilergebnis  (= 26, 27, 28);4848831,64;5105045,13;4494952,02;5559234,23;5598899,15;5645917,98;5694667,40;5732332,29
