;"Ergebnis des Vorvorvorjahres K4/2013";"Ergebnis des Vorvorjahres K4/2014";"Ansatz des Vorjahres K4/2015";"Planung des Haushaltsjahres K4/2016";"Planung des Haushaltsjahres K4/2017";"Planung des Haushaltsjahres K4/2018";"Planung des Haushaltsjahres K4/2019";"Planung des Haushaltsjahres K4/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-273.531,69 EUR";"-231.067,02 EUR";"-87.165,47 EUR";"-141.170,30 EUR";"-119.987,37 EUR";"-88.089,25 EUR";"-55.075,08 EUR";"-45.998,10 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"";"";"";"";"";"";"";""
"5 + Privatrechtliche Leistungsentgelte";"-486.840,88 EUR";"-508.426,30 EUR";"-488.026,32 EUR";"-519.734,20 EUR";"-519.734,20 EUR";"-519.734,20 EUR";"-519.734,20 EUR";"-519.734,20 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"308,30 EUR";"-1.217,99 EUR";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"-4.335,55 EUR";"-3.390,17 EUR";"-1.122,96 EUR";"-2.669,60 EUR";"-2.669,61 EUR";"-2.669,60 EUR";"-2.514,61 EUR";"-1.574,36 EUR"
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-764.399,82 EUR";"-744.101,48 EUR";"-576.314,75 EUR";"-663.574,10 EUR";"-642.391,18 EUR";"-610.493,05 EUR";"-577.323,89 EUR";"-567.306,66 EUR"
"11 - Personalaufwendungen";"515.282,36 EUR";"513.812,23 EUR";"615.503,47 EUR";"556.120,73 EUR";"558.831,76 EUR";"564.080,07 EUR";"572.069,17 EUR";"580.153,45 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"3.502.244,86 EUR";"3.872.125,09 EUR";"3.581.457,00 EUR";"3.942.502,72 EUR";"4.012.635,88 EUR";"4.082.870,24 EUR";"4.160.128,00 EUR";"4.230.362,36 EUR"
"14 - Bilanzielle Abschreibungen";"272.349,13 EUR";"282.712,17 EUR";"156.409,47 EUR";"208.398,25 EUR";"180.728,74 EUR";"146.520,85 EUR";"91.481,09 EUR";"61.889,08 EUR"
"15 - Transferaufwendungen";"34.664,11 EUR";"38.761,99 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR";"20.000,00 EUR"
"16 - Sonstige ordentliche Aufwendungen";"5.050.403,45 EUR";"5.144.184,18 EUR";"4.808.219,60 EUR";"5.490.851,36 EUR";"5.504.898,16 EUR";"5.518.945,12 EUR";"5.532.992,00 EUR";"5.547.038,84 EUR"
"17 = Ordentliche Aufwendungen";"9.374.943,91 EUR";"9.851.595,66 EUR";"9.181.589,54 EUR";"10.217.873,06 EUR";"10.277.094,54 EUR";"10.332.416,28 EUR";"10.376.670,26 EUR";"10.439.443,73 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"8.610.544,09 EUR";"9.107.494,18 EUR";"8.605.274,79 EUR";"9.554.298,96 EUR";"9.634.703,36 EUR";"9.721.923,23 EUR";"9.799.346,37 EUR";"9.872.137,07 EUR"
"19 + Finanzerträge";"";"-4.147,20 EUR";"-6.500,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR"
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"-4.147,20 EUR";"-6.500,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR";"-5.000,04 EUR"
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"8.610.544,09 EUR";"9.103.346,98 EUR";"8.598.774,75 EUR";"9.549.298,92 EUR";"9.629.703,32 EUR";"9.716.923,19 EUR";"9.794.346,33 EUR";"9.867.137,03 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"8.610.544,09 EUR";"9.103.346,98 EUR";"8.598.774,75 EUR";"9.549.298,92 EUR";"9.629.703,32 EUR";"9.716.923,19 EUR";"9.794.346,33 EUR";"9.867.137,03 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"";"";"";"";"";"";"";""
"28 - Aufwendungen aus internen Leistungsbeziehungen";"456.261,50 EUR";"439.712,42 EUR";"417.813,68 EUR";"384.991,78 EUR";"385.144,33 EUR";"386.621,00 EUR";"389.368,35 EUR";"393.668,35 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"9.066.805,59 EUR";"9.543.059,40 EUR";"9.016.588,43 EUR";"9.934.290,70 EUR";"10.014.847,65 EUR";"10.103.544,19 EUR";"10.183.714,68 EUR";"10.260.805,38 EUR"
