;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-429850,15;-389520,54;-42611,53;-331217,04;-330465,00;-327514,31;-324329,70;-323339,24
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;-231265,43;-220983,30;-230550,00;-231550,00;-231550,00;-231550,00;-231550,00;-231550,00
6 + Kostenerstattungen und Kostenumlagen;;-3570,00;-50,00;-50,00;-50,00;-50,00;-50,00;-50,00
7 + Sonstige ordentliche Erträge;-11332,70;-10370,58;-4898,33;-5174,49;-5153,19;-5153,17;-5153,20;-5153,16
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-672448,28;-624444,42;-278109,86;-567991,53;-567218,19;-564267,48;-561082,90;-560092,40
11 - Personalaufwendungen;3435993,33;3132153,89;3533585,04;3443040,32;3393734,69;3425667,02;3474276,72;3523464,96
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;688924,75;679831,28;691200,00;697700,00;706800,00;712200,00;717800,00;723500,00
14 - Bilanzielle Abschreibungen;74043,83;76068,79;33691,48;19815,96;15357,54;12293,10;8995,26;8004,56
15 - Transferaufwendungen;3400,00;;;;;;;
16 - Sonstige ordentliche Aufwendungen;613483,87;585484,25;619770,00;601430,00;601430,00;601430,00;601430,00;601430,00
17 = Ordentliche Aufwendungen;4815845,78;4473538,21;4878246,52;4761986,28;4717322,23;4751590,12;4802501,98;4856399,52
18 = Ordentliches Ergebnis (= 10 + 17);4143397,50;3849093,79;4600136,66;4193994,75;4150104,04;4187322,64;4241419,08;4296307,12
19 + Finanzerträge;;-17,10;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;-17,10;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);4143397,50;3849076,69;4600136,66;4193994,75;4150104,04;4187322,64;4241419,08;4296307,12
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);4143397,50;3849076,69;4600136,66;4193994,75;4150104,04;4187322,64;4241419,08;4296307,12
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;671475,10;562444,41;572920,10;514621,46;510053,38;510056,82;511563,70;514742,38
29 = Teilergebnis  (= 26, 27, 28);4814872,60;4411521,10;5173056,76;4708616,21;4660157,42;4697379,46;4752982,78;4811049,50
