;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-14280,00;;;-1500000,00;-3000000,00;-3000000,00;-12000000,00;-12000000,00
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;;;;;;;;
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-14280,00;;;-1500000,00;-3000000,00;-3000000,00;-12000000,00;-12000000,00
11 - Personalaufwendungen;;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;42840,00;-154,03;;;;;;
14 - Bilanzielle Abschreibungen;;;;;;;;
15 - Transferaufwendungen;2496625,02;2624999,04;2601500,00;4464200,00;6125400,00;6172300,00;15219900,00;15268200,00
16 - Sonstige ordentliche Aufwendungen;;72787,45;;;;;;
17 = Ordentliche Aufwendungen;2539465,02;2697632,46;2601500,00;4464200,00;6125400,00;6172300,00;15219900,00;15268200,00
18 = Ordentliches Ergebnis (= 10 + 17);2525185,02;2697632,46;2601500,00;2964200,00;3125400,00;3172300,00;3219900,00;3268200,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);2525185,02;2697632,46;2601500,00;2964200,00;3125400,00;3172300,00;3219900,00;3268200,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);2525185,02;2697632,46;2601500,00;2964200,00;3125400,00;3172300,00;3219900,00;3268200,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);2525185,02;2697632,46;2601500,00;2964200,00;3125400,00;3172300,00;3219900,00;3268200,00
