;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-70064,44;-140000,00;;;;;;
3 + Sonstige Transfererträge;-3717958,19;-4310810,69;-1500000,00;-4130000,00;-4130000,00;-4130000,00;-4130000,00;-4130000,00
4 + Öffentlich-rechtliche Leistungsentgelte;-5944,34;-5133,20;-6461,52;-7000,08;-7000,00;-7000,00;-7000,00;-7000,00
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-70200678,28;-60396565,54;-68150000,00;-72646000,00;-78301000,00;-83091000,00;-84445500,00;-84445500,00
7 + Sonstige ordentliche Erträge;-24,92;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-73994670,17;-64852509,43;-69656461,52;-76783000,08;-82438000,00;-87228000,00;-88582500,00;-88582500,00
11 - Personalaufwendungen;12744,86;980,39;4098,00;4159,00;4221,00;4284,00;4284,00;4284,00
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;292,52;;;;;;;
14 - Bilanzielle Abschreibungen;54,78;;;;;;;
15 - Transferaufwendungen;33548781,92;34326487,27;33376310,00;37465000,00;37465000,00;37465000,00;37465000,00;37465000,00
16 - Sonstige ordentliche Aufwendungen;123702709,09;122930888,59;122936200,00;128057200,00;132057200,00;133057200,00;136627200,00;136707200,00
17 = Ordentliche Aufwendungen;157264583,17;157258356,25;156316608,00;165526359,00;169526421,00;170526484,00;174096484,00;174176484,00
18 = Ordentliches Ergebnis (= 10 + 17);83269913,00;92405846,82;86660146,48;88743358,92;87088421,00;83298484,00;85513984,00;85593984,00
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);83269913,00;92405846,82;86660146,48;88743358,92;87088421,00;83298484,00;85513984,00;85593984,00
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);83269913,00;92405846,82;86660146,48;88743358,92;87088421,00;83298484,00;85513984,00;85593984,00
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;16824,00;68,14;208,96;185,58;185,59;186,27;185,75;186,47
29 = Teilergebnis  (= 26, 27, 28);83286737,00;92405914,96;86660355,44;88743544,50;87088606,59;83298670,27;85514169,75;85594170,47
