"";"Ergebnis des Vorvorvorjahres K4/2013";"Ergebnis des Vorvorjahres K4/2014";"Ansatz des Vorjahres K4/2015";"Planung des Haushaltsjahres K4/2016";"Planung des Haushaltsjahres K4/2017";"Planung des Haushaltsjahres K4/2018";"Planung des Haushaltsjahres K4/2019";"Planung des Haushaltsjahres K4/2020"
"1 + Steuern und ähnliche Abgaben";"";"";"";"";"";"";"";""
"2 + Zuwendungen und allgemeine Umlagen";"-72.637,01 EUR";"-194.577,82 EUR";"-246,64 EUR";"-7.303,12 EUR";"-7.263,71 EUR";"-7.213,42 EUR";"-6.931,24 EUR";"-4.590,05 EUR"
"3 + Sonstige Transfererträge";"";"";"";"";"";"";"";""
"4 + Öffentlich-rechtliche Leistungsentgelte";"-474.581,96 EUR";"-598.694,49 EUR";"-350.000,00 EUR";"-3.860.000,00 EUR";"-4.828.500,00 EUR";"-4.828.500,00 EUR";"-4.828.500,00 EUR";"-4.828.500,00 EUR"
"5 + Privatrechtliche Leistungsentgelte";"-15.387,00 EUR";"";"-15.000,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR";"-15.000,00 EUR"
"6 + Kostenerstattungen und Kostenumlagen";"";"";"";"";"";"";"";""
"7 + Sonstige ordentliche Erträge";"-380.000,00 EUR";"-20.000,00 EUR";"";"";"";"";"";""
"8 + Aktivierte Eigenleistungen";"";"";"";"";"";"";"";""
"9 +/- Bestandsveränderungen";"";"";"";"";"";"";"";""
"10 = Ordentliche Erträge";"-942.605,97 EUR";"-813.272,31 EUR";"-365.246,64 EUR";"-3.882.303,12 EUR";"-4.850.763,71 EUR";"-4.850.713,42 EUR";"-4.850.431,24 EUR";"-4.848.090,05 EUR"
"11 - Personalaufwendungen";"1.060.290,27 EUR";"1.030.794,53 EUR";"1.066.163,27 EUR";"1.353.963,07 EUR";"1.357.823,81 EUR";"1.369.795,75 EUR";"1.389.439,26 EUR";"1.409.315,86 EUR"
"12 - Versorgungsaufwendungen";"";"";"";"";"";"";"";""
"13 - Aufwendungen für Sach- und Dienstleistungen";"633.506,31 EUR";"1.309.184,56 EUR";"825.514,48 EUR";"8.826.475,80 EUR";"10.811.264,08 EUR";"10.865.989,96 EUR";"10.920.976,00 EUR";"10.976.081,76 EUR"
"14 - Bilanzielle Abschreibungen";"20.501,51 EUR";"67.013,41 EUR";"947,06 EUR";"8.204,08 EUR";"8.164,24 EUR";"7.984,25 EUR";"7.520,34 EUR";"5.073,74 EUR"
"15 - Transferaufwendungen";"0,00 EUR";"0,00 EUR";"";"";"";"";"";""
"16 - Sonstige ordentliche Aufwendungen";"849.229,22 EUR";"729.480,23 EUR";"517.417,43 EUR";"3.600.319,27 EUR";"4.140.328,16 EUR";"4.140.328,08 EUR";"4.140.328,08 EUR";"4.140.328,08 EUR"
"17 = Ordentliche Aufwendungen";"2.563.527,31 EUR";"3.136.472,73 EUR";"2.410.042,24 EUR";"13.788.962,22 EUR";"16.317.580,29 EUR";"16.384.098,04 EUR";"16.458.263,68 EUR";"16.530.799,44 EUR"
"18 = Ordentliches Ergebnis (= 10 + 17)";"1.620.921,34 EUR";"2.323.200,42 EUR";"2.044.795,60 EUR";"9.906.659,10 EUR";"11.466.816,58 EUR";"11.533.384,62 EUR";"11.607.832,44 EUR";"11.682.709,39 EUR"
"19 + Finanzerträge";"";"";"";"";"";"";"";""
"20 - Zinsen und sonstige Finanzaufwendungen";"";"";"";"";"";"";"";""
"21 = Finanzergebnis (= 19 + 20)";"";"";"";"";"";"";"";""
"22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21)";"1.620.921,34 EUR";"2.323.200,42 EUR";"2.044.795,60 EUR";"9.906.659,10 EUR";"11.466.816,58 EUR";"11.533.384,62 EUR";"11.607.832,44 EUR";"11.682.709,39 EUR"
"23 + Außerordentliche Erträge";"";"";"";"";"";"";"";""
"24 - Außerordentliche Aufwendungen";"";"";"";"";"";"";"";""
"25 = Außerordentliches Ergebnis (= 23 + 24)";"";"";"";"";"";"";"";""
"26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25)";"1.620.921,34 EUR";"2.323.200,42 EUR";"2.044.795,60 EUR";"9.906.659,10 EUR";"11.466.816,58 EUR";"11.533.384,62 EUR";"11.607.832,44 EUR";"11.682.709,39 EUR"
"27 + Erträge aus internen Leistungsbeziehungen";"-204.633,87 EUR";"-204.302,04 EUR";"-204.302,04 EUR";"-204.188,04 EUR";"-204.188,04 EUR";"-204.188,04 EUR";"-204.188,04 EUR";"-204.188,04 EUR"
"28 - Aufwendungen aus internen Leistungsbeziehungen";"151.550,01 EUR";"167.035,80 EUR";"148.060,30 EUR";"509.616,11 EUR";"589.985,54 EUR";"588.077,57 EUR";"588.824,11 EUR";"594.410,11 EUR"
"29 = Teilergebnis  (= 26, 27, 28)";"1.567.837,48 EUR";"2.285.934,18 EUR";"1.988.553,86 EUR";"10.212.087,17 EUR";"11.852.614,08 EUR";"11.917.274,15 EUR";"11.992.468,51 EUR";"12.072.931,46 EUR"
