;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-963,95;;;;;;;
3 + Sonstige Transfererträge;-809366,07;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;-2972,17;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-4233656,26;;;;;;;
7 + Sonstige ordentliche Erträge;-12,46;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-5046970,91;;;;;;;
11 - Personalaufwendungen;1848258,03;;;;;;;
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;46030,66;;;;;;;
14 - Bilanzielle Abschreibungen;1713,30;;;;;;;
15 - Transferaufwendungen;43471910,41;0,00;;;;;;
16 - Sonstige ordentliche Aufwendungen;137225,00;;;;;;;
17 = Ordentliche Aufwendungen;45505137,40;0,00;;;;;;
18 = Ordentliches Ergebnis (= 10 + 17);40458166,49;0,00;;;;;;
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);40458166,49;0,00;;;;;;
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);40458166,49;0,00;;;;;;
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;284833,12;;;;;;;
29 = Teilergebnis  (= 26, 27, 28);40742999,61;0,00;;;;;;
