;Ergebnis des Vorvorvorjahres K4/2013;Ergebnis des Vorvorjahres K4/2014;Ansatz des Vorjahres K4/2015;Planung des Haushaltsjahres K4/2016;Planung des Haushaltsjahres K4/2017;Planung des Haushaltsjahres K4/2018;Planung des Haushaltsjahres K4/2019;Planung des Haushaltsjahres K4/2020
1 + Steuern und ähnliche Abgaben;;;;;;;;
2 + Zuwendungen und allgemeine Umlagen;-92,30;-115,35;-1,68;-27,24;-15,24;-2,76;-0,96;-0,96
3 + Sonstige Transfererträge;;;;;;;;
4 + Öffentlich-rechtliche Leistungsentgelte;;;;;;;;
5 + Privatrechtliche Leistungsentgelte;;;;;;;;
6 + Kostenerstattungen und Kostenumlagen;-38050,00;-102350,00;-100000,00;-140000,00;-140000,00;-140000,00;-140000,00;-140000,00
7 + Sonstige ordentliche Erträge;;;;;;;;
8 + Aktivierte Eigenleistungen;;;;;;;;
9 +/- Bestandsveränderungen;;;;;;;;
10 = Ordentliche Erträge;-38142,30;-102465,35;-100001,68;-140027,24;-140015,24;-140002,76;-140000,96;-140000,96
11 - Personalaufwendungen;20986,53;27211,08;19238,04;20926,11;21038,66;21189,26;21448,82;21711,50
12 - Versorgungsaufwendungen;;;;;;;;
13 - Aufwendungen für Sach- und Dienstleistungen;1174,20;1472,58;1341,60;707,16;713,16;723,00;732,84;742,68
14 - Bilanzielle Abschreibungen;74,71;127,99;4,68;37,92;25,92;10,08;3,84;1,80
15 - Transferaufwendungen;158652,59;175401,84;362450,00;219401,00;218894,00;218402,00;218402,00;218402,00
16 - Sonstige ordentliche Aufwendungen;2265,87;3295,24;2348,12;1627,40;1624,05;1624,05;1624,05;1624,05
17 = Ordentliche Aufwendungen;183153,90;207508,73;385382,44;242699,59;242295,79;241948,39;242211,55;242482,03
18 = Ordentliches Ergebnis (= 10 + 17);145011,60;105043,38;285380,76;102672,35;102280,55;101945,63;102210,59;102481,07
19 + Finanzerträge;;;;;;;;
20 - Zinsen und sonstige Finanzaufwendungen;;;;;;;;
21 = Finanzergebnis (= 19 + 20);;;;;;;;
22 = Ergebnis der laufenden Verwaltungstätigkeit (=18 + 21);145011,60;105043,38;285380,76;102672,35;102280,55;101945,63;102210,59;102481,07
23 + Außerordentliche Erträge;;;;;;;;
24 - Außerordentliche Aufwendungen;;;;;;;;
25 = Außerordentliches Ergebnis (= 23 + 24);;;;;;;;
26 = Ergebnis vor internen Leistungsbeziehungen (= 22 + 25);145011,60;105043,38;285380,76;102672,35;102280,55;101945,63;102210,59;102481,07
27 + Erträge aus internen Leistungsbeziehungen;;;;;;;;
28 - Aufwendungen aus internen Leistungsbeziehungen;3969,44;8211,30;5273,31;6704,77;6695,68;6693,68;6700,87;6717,39
29 = Teilergebnis  (= 26, 27, 28);148981,04;113254,68;290654,07;109377,12;108976,23;108639,31;108911,46;109198,46
